"estimate","statistic","p.value","method","alternative","im.cell","microbe","cancer"
-0.0546202935093336,1448732.95181406,0.440079350921727,"Spearman's rank correlation rho","two.sided","NK.cells.activated","Acidaminococcus","THO"
-0.0878319662170935,1494355.85982439,0.213873897243689,"Spearman's rank correlation rho","two.sided","Macrophages.M0","Acidaminococcus","THO"
-0.0203610279362971,1401670.96443712,0.77363875525303,"Spearman's rank correlation rho","two.sided","Macrophages.M1","Acidaminococcus","THO"
-0.100126733533239,1511245.19398134,0.156248468632249,"Spearman's rank correlation rho","two.sided","Macrophages.M2","Acidaminococcus","THO"
-0.12067402284911,1539471.02586185,0.0871339732998335,"Spearman's rank correlation rho","two.sided","Dendritic.cells.resting","Acidaminococcus","THO"
-0.0141705368193045,1393167.08059922,0.841354384197802,"Spearman's rank correlation rho","two.sided","Dendritic.cells.activated","Acidaminococcus","THO"
-0.0928232366121472,1501212.37295734,0.188873971037433,"Spearman's rank correlation rho","two.sided","Mast.cells.resting","Acidaminococcus","THO"
-0.0396520427374347,1428171.05076046,0.575285414451107,"Spearman's rank correlation rho","two.sided","Mast.cells.activated","Acidaminococcus","THO"
-0.00406223262966194,1379281.2930256,0.954244791795348,"Spearman's rank correlation rho","two.sided","Eosinophils","Acidaminococcus","THO"
-0.0342757295954697,1420785.60402103,0.628195098625008,"Spearman's rank correlation rho","two.sided","Neutrophils","Acidaminococcus","THO"
-0.0105234742241747,1388157.10706522,0.881835653801092,"Spearman's rank correlation rho","two.sided","TILs","Acidaminococcus","THO"
-0.262569222690199,1734392.60377875,0.000159940991806821,"Spearman's rank correlation rho","two.sided","B.cells.naive","Acidovorax","THO"
0.0216333242982641,1343983.28077815,0.759913032115241,"Spearman's rank correlation rho","two.sided","B.cells.memory","Acidovorax","THO"
-0.0317418473748016,1417304.80748061,0.653828622138029,"Spearman's rank correlation rho","two.sided","T.cells.CD8","Acidovorax","THO"
0.0450467993778044,1311820.16664791,0.52439494230143,"Spearman's rank correlation rho","two.sided","T.cells.CD4.naive","Acidovorax","THO"
-0.0366680711237141,1424071.96597072,0.604394551033927,"Spearman's rank correlation rho","two.sided","T.cells.CD4.memory.resting","Acidovorax","THO"
-0.10828392268704,1522450.73287911,0.125037802706689,"Spearman's rank correlation rho","two.sided","T.cells.CD4.memory.activated","Acidovorax","THO"
0.00596046494670677,1365513.10334224,0.932906043921928,"Spearman's rank correlation rho","two.sided","T.cells.follicular.helper","Acidovorax","THO"
-0.00816724837895962,1384920.35726543,0.90815980503443,"Spearman's rank correlation rho","two.sided","T.cells.regulatory..Tregs.","Acidovorax","THO"
-0.100051194152904,1511141.42545904,0.156562661857251,"Spearman's rank correlation rho","two.sided","T.cells.gamma.delta","Acidovorax","THO"
0.130725978831968,1194122.59215255,0.0636818379279571,"Spearman's rank correlation rho","two.sided","NK.cells.resting","Acidovorax","THO"
-0.140520928250419,1566734.73965853,0.0460765022201145,"Spearman's rank correlation rho","two.sided","NK.cells.activated","Acidovorax","THO"
-0.0614823510967233,1458159.36718392,0.384722295591816,"Spearman's rank correlation rho","two.sided","Macrophages.M0","Acidovorax","THO"
-0.210118431232877,1662340.89910303,0.00268750196812473,"Spearman's rank correlation rho","two.sided","Macrophages.M1","Acidovorax","THO"
-0.0263907540591993,1409954.00524188,0.709282160026843,"Spearman's rank correlation rho","two.sided","Macrophages.M2","Acidovorax","THO"
-0.0989431872191507,1509619.35522613,0.161226026185694,"Spearman's rank correlation rho","two.sided","Dendritic.cells.resting","Acidovorax","THO"
0.186633999833979,1117321.68779406,0.00782532646870683,"Spearman's rank correlation rho","two.sided","Dendritic.cells.activated","Acidovorax","THO"
0.154684412783691,1161210.86747463,0.0279432479780767,"Spearman's rank correlation rho","two.sided","Mast.cells.resting","Acidovorax","THO"
-0.0669031336147569,1465605.90154973,0.344132425088185,"Spearman's rank correlation rho","two.sided","Mast.cells.activated","Acidovorax","THO"
0.103529466973776,1231482.46768866,0.142582458326197,"Spearman's rank correlation rho","two.sided","Eosinophils","Acidovorax","THO"
0.0470076528998601,1309126.54020381,0.506481988962456,"Spearman's rank correlation rho","two.sided","Neutrophils","Acidovorax","THO"
-0.0530853429574229,1446624.38870595,0.453055039621176,"Spearman's rank correlation rho","two.sided","TILs","Acidovorax","THO"
-0.150445499853334,1580368.13359402,0.0325864730915545,"Spearman's rank correlation rho","two.sided","B.cells.naive","Actinoalloteichus","THO"
0.0659592698030139,1283092.68511233,0.350997718254425,"Spearman's rank correlation rho","two.sided","B.cells.memory","Actinoalloteichus","THO"
-0.0329172728366815,1418919.49061302,0.641884855955855,"Spearman's rank correlation rho","two.sided","T.cells.CD8","Actinoalloteichus","THO"
0.265850733401462,1008501.58167568,0.000131279942665942,"Spearman's rank correlation rho","two.sided","T.cells.CD4.naive","Actinoalloteichus","THO"
-0.0831056296248801,1487863.28652133,0.23965157298041,"Spearman's rank correlation rho","two.sided","T.cells.CD4.memory.resting","Actinoalloteichus","THO"
0.055878776639352,1296940.26865175,0.429600506045282,"Spearman's rank correlation rho","two.sided","T.cells.CD4.memory.activated","Actinoalloteichus","THO"
-0.00648601612855031,1382610.84684181,0.927005921149261,"Spearman's rank correlation rho","two.sided","T.cells.follicular.helper","Actinoalloteichus","THO"
0.0264636159386701,1337347.90432143,0.708515903109229,"Spearman's rank correlation rho","two.sided","T.cells.regulatory..Tregs.","Actinoalloteichus","THO"
0.0807771225768875,1262737.38593901,0.253120604707602,"Spearman's rank correlation rho","two.sided","T.cells.gamma.delta","Actinoalloteichus","THO"
0.171150728689566,1138591.07284842,0.0148749100662596,"Spearman's rank correlation rho","two.sided","NK.cells.resting","Actinoalloteichus","THO"
-0.279816744424163,1758085.54163222,5.50399790320014e-05,"Spearman's rank correlation rho","two.sided","NK.cells.activated","Actinoalloteichus","THO"
-0.0822504023221856,1486688.45992039,0.244539059385368,"Spearman's rank correlation rho","two.sided","Macrophages.M0","Actinoalloteichus","THO"
-0.147123452250172,1575804.63347951,0.0366695566083726,"Spearman's rank correlation rho","two.sided","Macrophages.M1","Actinoalloteichus","THO"
-0.0738324365997393,1475124.6919895,0.296360502270233,"Spearman's rank correlation rho","two.sided","Macrophages.M2","Actinoalloteichus","THO"
-0.0783588246119926,1481342.59572832,0.26765365979266,"Spearman's rank correlation rho","two.sided","Dendritic.cells.resting","Actinoalloteichus","THO"
0.0903367755614854,1249605.28107441,0.201046812017488,"Spearman's rank correlation rho","two.sided","Dendritic.cells.activated","Actinoalloteichus","THO"
0.0309974743702715,1331119.73846008,0.661438378467907,"Spearman's rank correlation rho","two.sided","Mast.cells.resting","Actinoalloteichus","THO"
-0.0529807972209904,1446480.77412327,0.453946545029842,"Spearman's rank correlation rho","two.sided","Mast.cells.activated","Actinoalloteichus","THO"
0.254665142508887,1023867.2390704,0.000254688530840141,"Spearman's rank correlation rho","two.sided","Eosinophils","Actinoalloteichus","THO"
-0.000216297583452473,1373998.12820669,0.997562395795216,"Spearman's rank correlation rho","two.sided","Neutrophils","Actinoalloteichus","THO"
-0.025969391339202,1409375.17885205,0.713719154957936,"Spearman's rank correlation rho","two.sided","TILs","Actinoalloteichus","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","B.cells.naive","Actinomadura","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","B.cells.memory","Actinomadura","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","T.cells.CD8","Actinomadura","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","T.cells.CD4.naive","Actinomadura","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","T.cells.CD4.memory.resting","Actinomadura","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","T.cells.CD4.memory.activated","Actinomadura","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","T.cells.follicular.helper","Actinomadura","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","T.cells.regulatory..Tregs.","Actinomadura","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","T.cells.gamma.delta","Actinomadura","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","NK.cells.resting","Actinomadura","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","NK.cells.activated","Actinomadura","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","Macrophages.M0","Actinomadura","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","Macrophages.M1","Actinomadura","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","Macrophages.M2","Actinomadura","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","Dendritic.cells.resting","Actinomadura","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","Dendritic.cells.activated","Actinomadura","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","Mast.cells.resting","Actinomadura","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","Mast.cells.activated","Actinomadura","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","Eosinophils","Actinomadura","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","Neutrophils","Actinomadura","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","TILs","Actinomadura","THO"
-0.032562184680701,1418431.70565806,0.645483486296758,"Spearman's rank correlation rho","two.sided","B.cells.naive","Actinoplanes","THO"
0.0036374972476135,1368704.16639346,0.959024404800562,"Spearman's rank correlation rho","two.sided","B.cells.memory","Actinoplanes","THO"
0.128127080563992,1197692.70130216,0.0691827785452143,"Spearman's rank correlation rho","two.sided","T.cells.CD8","Actinoplanes","THO"
0.0800846243939127,1263688.67138546,0.257225354640225,"Spearman's rank correlation rho","two.sided","T.cells.CD4.naive","Actinoplanes","THO"
-0.0445877310594321,1434951.21074407,0.528634716157767,"Spearman's rank correlation rho","two.sided","T.cells.CD4.memory.resting","Actinoplanes","THO"
0.0142585002776815,1354114.08391005,0.840382697393538,"Spearman's rank correlation rho","two.sided","T.cells.CD4.memory.activated","Actinoplanes","THO"
0.0870252360267534,1254154.34624481,0.218127281060637,"Spearman's rank correlation rho","two.sided","T.cells.follicular.helper","Actinoplanes","THO"
0.0137064683354372,1354872.41074114,0.846484646101116,"Spearman's rank correlation rho","two.sided","T.cells.regulatory..Tregs.","Actinoplanes","THO"
-0.0758029775769134,1477831.62610038,0.283621087858192,"Spearman's rank correlation rho","two.sided","T.cells.gamma.delta","Actinoplanes","THO"
0.0290474665735832,1333798.4661204,0.681536997259352,"Spearman's rank correlation rho","two.sided","NK.cells.resting","Actinoplanes","THO"
0.0139219825091369,1354576.35870522,0.844101326957983,"Spearman's rank correlation rho","two.sided","NK.cells.activated","Actinoplanes","THO"
0.00496116205315279,1366885.84672642,0.94413459259482,"Spearman's rank correlation rho","two.sided","Macrophages.M0","Actinoplanes","THO"
-0.0763364998870313,1478564.52623131,0.280236184188108,"Spearman's rank correlation rho","two.sided","Macrophages.M1","Actinoplanes","THO"
0.0852752995869511,1256558.23568211,0.227560179611628,"Spearman's rank correlation rho","two.sided","Macrophages.M2","Actinoplanes","THO"
-0.0444341947672115,1434740.29778591,0.530056572064721,"Spearman's rank correlation rho","two.sided","Dendritic.cells.resting","Actinoplanes","THO"
0.101709127518211,1233983.06981911,0.149775404439863,"Spearman's rank correlation rho","two.sided","Dendritic.cells.activated","Actinoplanes","THO"
-0.140833226880837,1567163.74459943,0.0455900106492523,"Spearman's rank correlation rho","two.sided","Mast.cells.resting","Actinoplanes","THO"
0.0649012293108359,1284546.11639448,0.358795146847281,"Spearman's rank correlation rho","two.sided","Mast.cells.activated","Actinoplanes","THO"
-0.05917636206002,1454991.62773821,0.402835363907474,"Spearman's rank correlation rho","two.sided","Eosinophils","Actinoplanes","THO"
0.00406118290215271,1368122.14898613,0.954256602599141,"Spearman's rank correlation rho","two.sided","Neutrophils","Actinoplanes","THO"
0.0611699752915158,1289671.74377207,0.387146583842858,"Spearman's rank correlation rho","two.sided","TILs","Actinoplanes","THO"
0.0900770095217425,1249962.12194297,0.202350578230126,"Spearman's rank correlation rho","two.sided","B.cells.naive","Actinosynnema","THO"
0.17902449571967,1127774.87120539,0.0107953458245984,"Spearman's rank correlation rho","two.sided","B.cells.memory","Actinosynnema","THO"
0.347121249864986,896860.191939218,4.16709501267458e-07,"Spearman's rank correlation rho","two.sided","T.cells.CD8","Actinosynnema","THO"
0.03016550041296,1332262.62191722,0.669984928502843,"Spearman's rank correlation rho","two.sided","T.cells.CD4.naive","Actinosynnema","THO"
0.260648648690186,1015647.69064564,0.000179324884576544,"Spearman's rank correlation rho","two.sided","T.cells.CD4.memory.resting","Actinosynnema","THO"
0.246962111782122,1034448.90008279,0.000395225767054472,"Spearman's rank correlation rho","two.sided","T.cells.CD4.memory.activated","Actinosynnema","THO"
0.0600887173643108,1291157.06886793,0.395609158111009,"Spearman's rank correlation rho","two.sided","T.cells.follicular.helper","Actinosynnema","THO"
-0.17077549089689,1608295.46262055,0.0150992007172962,"Spearman's rank correlation rho","two.sided","T.cells.regulatory..Tregs.","Actinosynnema","THO"
-0.0646649251118733,1462531.27229111,0.360551289538625,"Spearman's rank correlation rho","two.sided","T.cells.gamma.delta","Actinosynnema","THO"
0.0928502196841001,1246152.56036973,0.188744897576544,"Spearman's rank correlation rho","two.sided","NK.cells.resting","Actinosynnema","THO"
0.132855745545007,1191196.92948908,0.0594459153352576,"Spearman's rank correlation rho","two.sided","NK.cells.activated","Actinosynnema","THO"
0.168216391568571,1142621.97468586,0.0167091884153249,"Spearman's rank correlation rho","two.sided","Macrophages.M0","Actinosynnema","THO"
0.293065235444174,971116.993005102,2.30901248798616e-05,"Spearman's rank correlation rho","two.sided","Macrophages.M1","Actinosynnema","THO"
0.328364540487578,922626.302367673,1.83376964672497e-06,"Spearman's rank correlation rho","two.sided","Macrophages.M2","Actinosynnema","THO"
0.049564131870238,1305614.70248572,0.483616511450263,"Spearman's rank correlation rho","two.sided","Dendritic.cells.resting","Actinosynnema","THO"
0.134084400056025,1189509.12555864,0.0571096355521968,"Spearman's rank correlation rho","two.sided","Dendritic.cells.activated","Actinosynnema","THO"
-0.0187474735545462,1399454.42316935,0.791147056983319,"Spearman's rank correlation rho","two.sided","Mast.cells.resting","Actinosynnema","THO"
0.132371331280338,1191862.36984887,0.0603884029648328,"Spearman's rank correlation rho","two.sided","Mast.cells.activated","Actinosynnema","THO"
0.0873326834129171,1253732.00546299,0.216499242958513,"Spearman's rank correlation rho","two.sided","Eosinophils","Actinosynnema","THO"
0.0574102733633411,1294836.4500705,0.417044572348024,"Spearman's rank correlation rho","two.sided","Neutrophils","Actinosynnema","THO"
0.448952868625902,756973.99541573,2.06463503278427e-11,"Spearman's rank correlation rho","two.sided","TILs","Actinosynnema","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","B.cells.naive","Aeromicrobium","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","B.cells.memory","Aeromicrobium","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","T.cells.CD8","Aeromicrobium","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","T.cells.CD4.naive","Aeromicrobium","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","T.cells.CD4.memory.resting","Aeromicrobium","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","T.cells.CD4.memory.activated","Aeromicrobium","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","T.cells.follicular.helper","Aeromicrobium","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","T.cells.regulatory..Tregs.","Aeromicrobium","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","T.cells.gamma.delta","Aeromicrobium","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","NK.cells.resting","Aeromicrobium","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","NK.cells.activated","Aeromicrobium","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","Macrophages.M0","Aeromicrobium","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","Macrophages.M1","Aeromicrobium","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","Macrophages.M2","Aeromicrobium","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","Dendritic.cells.resting","Aeromicrobium","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","Dendritic.cells.activated","Aeromicrobium","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","Mast.cells.resting","Aeromicrobium","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","Mast.cells.activated","Aeromicrobium","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","Eosinophils","Aeromicrobium","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","Neutrophils","Aeromicrobium","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","TILs","Aeromicrobium","THO"
-0.0101282948957619,1387614.2488266,0.886242433188583,"Spearman's rank correlation rho","two.sided","B.cells.naive","Aeromonas","THO"
-0.00998565762270516,1387418.30786197,0.88783389521505,"Spearman's rank correlation rho","two.sided","B.cells.memory","Aeromonas","THO"
-0.0339849158617933,1420386.11290426,0.631115304896914,"Spearman's rank correlation rho","two.sided","T.cells.CD8","Aeromonas","THO"
-0.0418976760055673,1431255.87942652,0.553822135483329,"Spearman's rank correlation rho","two.sided","T.cells.CD4.naive","Aeromonas","THO"
-0.100422520633861,1511651.51701726,0.155022759899319,"Spearman's rank correlation rho","two.sided","T.cells.CD4.memory.resting","Aeromonas","THO"
0.0140708442711427,1354371.86715389,0.842455926119301,"Spearman's rank correlation rho","two.sided","T.cells.CD4.memory.activated","Aeromonas","THO"
-0.107966036633068,1522014.05248888,0.126156122316035,"Spearman's rank correlation rho","two.sided","T.cells.follicular.helper","Aeromonas","THO"
0.130167782721471,1194889.38670773,0.0648320638629741,"Spearman's rank correlation rho","two.sided","T.cells.regulatory..Tregs.","Aeromonas","THO"
0.0152802507405052,1352710.50427752,0.829114000226553,"Spearman's rank correlation rho","two.sided","T.cells.gamma.delta","Aeromonas","THO"
0.120804185856593,1207752.16908461,0.0867912007659028,"Spearman's rank correlation rho","two.sided","NK.cells.resting","Aeromonas","THO"
-0.222168595527276,1678894.22184441,0.00148385072719604,"Spearman's rank correlation rho","two.sided","NK.cells.activated","Aeromonas","THO"
-0.172325730615961,1610425.02847288,0.0141913142214919,"Spearman's rank correlation rho","two.sided","Macrophages.M0","Aeromonas","THO"
-0.114000123648303,1530303.0838558,0.106210660872183,"Spearman's rank correlation rho","two.sided","Macrophages.M1","Aeromonas","THO"
-0.126380252043425,1547309.6786123,0.0730934062440063,"Spearman's rank correlation rho","two.sided","Macrophages.M2","Aeromonas","THO"
-0.140333170513513,1566476.81666758,0.0463710699558119,"Spearman's rank correlation rho","two.sided","Dendritic.cells.resting","Aeromonas","THO"
0.118039162905998,1211550.48387687,0.0943086508017113,"Spearman's rank correlation rho","two.sided","Dendritic.cells.activated","Aeromonas","THO"
0.254808389396658,1023670.46067742,0.00025258296846096,"Spearman's rank correlation rho","two.sided","Mast.cells.resting","Aeromonas","THO"
-0.280237342155303,1758663.31715608,5.35785171827529e-05,"Spearman's rank correlation rho","two.sided","Mast.cells.activated","Aeromonas","THO"
-0.000666637995220842,1374616.76128067,0.992487302760829,"Spearman's rank correlation rho","two.sided","Eosinophils","Aeromonas","THO"
-0.0158230560474915,1395437.1479155,0.823141509715348,"Spearman's rank correlation rho","two.sided","Neutrophils","Aeromonas","THO"
-0.119653927254242,1538069.71952308,0.0898579975694652,"Spearman's rank correlation rho","two.sided","TILs","Aeromonas","THO"
0.043033598668254,1314585.70247582,0.543115487942057,"Spearman's rank correlation rho","two.sided","B.cells.naive","Agrobacterium","THO"
0.140003134389407,1181378.55428614,0.0468926677014293,"Spearman's rank correlation rho","two.sided","B.cells.memory","Agrobacterium","THO"
0.114375119672471,1216583.78373081,0.105058144771947,"Spearman's rank correlation rho","two.sided","T.cells.CD8","Agrobacterium","THO"
-0.0525783657145173,1445927.9535604,0.45738739590523,"Spearman's rank correlation rho","two.sided","T.cells.CD4.naive","Agrobacterium","THO"
0.070826445133367,1276406.64149385,0.316515339562287,"Spearman's rank correlation rho","two.sided","T.cells.CD4.memory.resting","Agrobacterium","THO"
0.151215447121144,1165976.18907424,0.0316973732074694,"Spearman's rank correlation rho","two.sided","T.cells.CD4.memory.activated","Agrobacterium","THO"
-0.124484354546457,1544705.28232482,0.0775389307502536,"Spearman's rank correlation rho","two.sided","T.cells.follicular.helper","Agrobacterium","THO"
0.0418675200684584,1316187.54581444,0.554107762154233,"Spearman's rank correlation rho","two.sided","T.cells.regulatory..Tregs.","Agrobacterium","THO"
0.0292803277697671,1333478.58446234,0.679124733442966,"Spearman's rank correlation rho","two.sided","T.cells.gamma.delta","Agrobacterium","THO"
0.160892933091646,1152682.21691907,0.0221695491293617,"Spearman's rank correlation rho","two.sided","NK.cells.resting","Agrobacterium","THO"
-0.109225385988662,1523744.02195801,0.121770718995319,"Spearman's rank correlation rho","two.sided","NK.cells.activated","Agrobacterium","THO"
0.108325448592078,1224894.22294361,0.124892283257902,"Spearman's rank correlation rho","two.sided","Macrophages.M0","Agrobacterium","THO"
0.0815271370685262,1261707.09028183,0.248726259667192,"Spearman's rank correlation rho","two.sided","Macrophages.M1","Agrobacterium","THO"
0.108664173864609,1224428.91569801,0.123710176262944,"Spearman's rank correlation rho","two.sided","Macrophages.M2","Agrobacterium","THO"
