"hazard.ratio","pvalue","taxa","cancer"
NA,NA,"class_Clostridia","CUT"
NA,NA,"class_Conoidasida","CUT"
NA,NA,"class_Coscinodiscophyceae","CUT"
0.420786386942743,0.431260892923806,"class_Cytophagia","CUT"
0.563567394136879,0.600948310543675,"class_Deinococci","CUT"
75283064.3888053,0.998793330909582,"class_Deltaproteobacteria","CUT"
NA,NA,"class_Dothideomycetes","CUT"
2.03109034699113,0.518284718714964,"class_Epsilonproteobacteria","CUT"
NA,NA,"class_Eumycetozoa","CUT"
NA,NA,"class_Eurotiomycetes","CUT"
0.420786386942743,0.431260892923806,"class_Flavobacteriia","CUT"
NA,NA,"class_Fusobacteriia","CUT"
75283064.3888053,0.998793330909582,"class_Gammaproteobacteria","CUT"
NA,NA,"class_Gemmatimonadetes","CUT"
NA,NA,"class_Halobacteria","CUT"
NA,NA,"class_Leotiomycetes","CUT"
NA,NA,"class_Magnoliopsida","CUT"
0.56341900481504,0.601774414285769,"class_Malasseziomycetes","CUT"
NA,NA,"class_Mamiellophyceae","CUT"
NA,NA,"class_Methanomicrobia","CUT"
0.383858744231249,0.382768271098459,"class_Mollicutes","CUT"
NA,NA,"class_Negativicutes","CUT"
1.16786477920033,0.858176673189774,"class_Oligoflexia","CUT"
NA,NA,"class_Saccharomycetes","CUT"
0.56341900481504,0.601774414285769,"class_Schizosaccharomycetes","CUT"
NA,NA,"class_Sordariomycetes","CUT"
NA,NA,"class_Thermoprotei","CUT"
0.456798872680503,0.475463734332512,"class_Tissierellia","CUT"
0.433921105303285,0.4469675657491,"class_Tremellomycetes","CUT"
NA,NA,"class_Ustilaginomycetes","CUT"
NA,NA,"order_Acidaminococcales","CUT"
1.58578989584317,0.674807405636045,"order_Actinomycetales","CUT"
75283064.3888053,0.998793330909582,"order_Aeromonadales","CUT"
0.243460151797464,0.198232466937007,"order_Alteromonadales","CUT"
NA,NA,"order_Apiales","CUT"
NA,NA,"order_Ardenticatenales","CUT"
NA,NA,"order_Arecales","CUT"
NA,NA,"order_Asparagales","CUT"
NA,NA,"order_Asterales","CUT"
NA,NA,"order_Bacillales","CUT"
1.16786477920033,0.858176673189774,"order_Bacteriovoracales","CUT"
NA,NA,"order_Bacteroidetes","CUT"
NA,NA,"order_Brassicales","CUT"
75283064.3888053,0.998793330909582,"order_Burkholderiales","CUT"
2.03109034699113,0.518284718714964,"order_Campylobacterales","CUT"
NA,NA,"order_Capnodiales","CUT"
NA,NA,"order_Caryophyllales","CUT"
NA,NA,"order_Caulobacterales","CUT"
1.58578989584317,0.674807405636045,"order_Cellvibrionales","CUT"
1.77441067457696,0.600948310543675,"order_Chromatiales","CUT"
NA,NA,"order_Clostridiales","CUT"
0.425129517455344,0.295555895686308,"order_Corynebacteriales","CUT"
3.39646910032149,0.266823858282628,"order_Cryptomonadales","CUT"
NA,NA,"order_Cucurbitales","CUT"
NA,NA,"order_Cyanidiales","CUT"
0.420786386942743,0.431260892923806,"order_Cytophagales","CUT"
NA,NA,"order_Deinococcales","CUT"
NA,NA,"order_Desulfovibrionales","CUT"
NA,NA,"order_Desulfuromonadales","CUT"
NA,NA,"order_Dictyosteliales","CUT"
75283064.3888053,0.998793330909582,"order_Enterobacterales","CUT"
NA,NA,"order_Eucoccidiorida","CUT"
NA,NA,"order_Eurotiales","CUT"
NA,NA,"order_Fabales","CUT"
NA,NA,"order_Fagales","CUT"
0.420786386942743,0.431260892923806,"order_Flavobacteriales","CUT"
213493570.149205,0.999135059027885,"order_Frankiales","CUT"
NA,NA,"order_Funariales","CUT"
NA,NA,"order_Fusobacteriales","CUT"
NA,NA,"order_Gemmatimonadales","CUT"
NA,NA,"order_Gentianales","CUT"
NA,NA,"order_Geodermatophilales","CUT"
NA,NA,"order_Glomerellales","CUT"
NA,NA,"order_Haemosporida","CUT"
NA,NA,"order_Helotiales","CUT"
NA,NA,"order_Herpesvirales","CUT"
NA,NA,"order_Hypocreales","CUT"
NA,NA,"order_Kinetoplastida","CUT"
0.809898867171982,0.80803696441383,"order_Lactobacillales","CUT"
NA,NA,"order_Lamiales","CUT"
NA,NA,"order_Magnaporthales","CUT"
0.56341900481504,0.601774414285769,"order_Malasseziales","CUT"
NA,NA,"order_Malpighiales","CUT"
NA,NA,"order_Malvales","CUT"
NA,NA,"order_Mamiellales","CUT"
NA,NA,"order_Methanosarcinales","CUT"
2.29402086671095,0.350523660078545,"order_Methylococcales","CUT"
NA,NA,"order_Micrococcales","CUT"
0.952928646769901,0.96498507194958,"order_Micromonosporales","CUT"
0.383858744231249,0.382768271098459,"order_Mycoplasmatales","CUT"
NA,NA,"order_Myrtales","CUT"
75283064.3888053,0.998793330909582,"order_Myxococcales","CUT"
NA,NA,"order_Natrialbales","CUT"
NA,NA,"order_Naviculales","CUT"
3.87388256820722,0.217293822759142,"order_Neisseriales","CUT"
75283064.3888053,0.998793330909582,"order_Nitrosomonadales","CUT"
NA,NA,"order_Nymphaeales","CUT"
1.10998329237686,0.924180985362812,"order_Oceanospirillales","CUT"
0.420786386942743,0.431260892923806,"order_Ortervirales","CUT"
75283064.3888053,0.998793330909582,"order_Pasteurellales","CUT"
NA,NA,"order_Piroplasmida","CUT"
NA,NA,"order_Poales","CUT"
0.412319936320706,0.310644543125312,"order_Propionibacteriales","CUT"
75283064.3888053,0.998793330909582,"order_Pseudomonadales","CUT"
0.952928646769901,0.96498507194958,"order_Pseudonocardiales","CUT"
NA,NA,"order_Pyrenomonadales","CUT"
NA,NA,"order_Ranunculales","CUT"
75283064.3888053,0.998793330909582,"order_Rhizobiales","CUT"
75283064.3888053,0.998793330909582,"order_Rhodobacterales","CUT"
NA,NA,"order_Rhodocyclales","CUT"
4.77132723614038,0.156638029647158,"order_Rhodospirillales","CUT"
NA,NA,"order_Rickettsiales","CUT"
NA,NA,"order_Rosales","CUT"
NA,NA,"order_Saccharomycetales","CUT"
NA,NA,"order_Sapindales","CUT"
0.56341900481504,0.601774414285769,"order_Schizosaccharomycetales","CUT"
NA,NA,"order_Solanales","CUT"
NA,NA,"order_Sordariales","CUT"
75283064.3888053,0.998793330909582,"order_Sphingomonadales","CUT"
NA,NA,"order_Streptomycetales","CUT"
1.59669828539818,0.58988407255634,"order_Streptosporangiales","CUT"
NA,NA,"order_Synechococcales","CUT"
NA,NA,"order_Thalassiosirales","CUT"
0.563567394136879,0.600948310543675,"order_Thermales","CUT"
0.185528852839076,0.125340648828723,"order_Thermoanaerobacterales","CUT"
NA,NA,"order_Thermoproteales","CUT"
0.952928646769901,0.964985071949581,"order_Thiotrichales","CUT"
0.456798872680503,0.475463734332512,"order_Tissierellales","CUT"
0.433921105303285,0.4469675657491,"order_Tremellales","CUT"
NA,NA,"order_Ustilaginales","CUT"
0.748270002788192,0.73799911348068,"order_Vibrionales","CUT"
NA,NA,"order_Vitales","CUT"
75283064.3888053,0.998793330909582,"order_Xanthomonadales","CUT"
NA,NA,"order_Zingiberales","CUT"
NA,NA,"family_Acetobacteraceae","CUT"
NA,NA,"family_Acidaminococcaceae","CUT"
1.58578989584317,0.674807405636045,"family_Actinomycetaceae","CUT"
75283064.3888053,0.998793330909582,"family_Aeromonadaceae","CUT"
0.734215414155786,0.778794994440199,"family_Alcaligenaceae","CUT"
0.243460151797464,0.198232466937007,"family_Alteromonadaceae","CUT"
1.58578989584317,0.674807405636045,"family_Anaeromyxobacteraceae","CUT"
NA,NA,"family_Apiaceae","CUT"
NA,NA,"family_Ardenticatenaceae","CUT"
NA,NA,"family_Arecaceae","CUT"
NA,NA,"family_Asparagaceae","CUT"
NA,NA,"family_Aspergillaceae","CUT"
NA,NA,"family_Asteraceae","CUT"
NA,NA,"family_Babesiidae","CUT"
NA,NA,"family_Bacillaceae","CUT"
NA,NA,"family_Bartonellaceae","CUT"
NA,NA,"family_Bathycoccaceae","CUT"
0.138643400489661,0.0730930298235497,"family_Bradyrhizobiaceae","CUT"
NA,NA,"family_Brassicaceae","CUT"
NA,NA,"family_Bromeliaceae","CUT"
75283064.3888053,0.998793330909582,"family_Burkholderiaceae","CUT"
NA,NA,"family_Candidatus","CUT"
NA,NA,"family_Cannabaceae","CUT"
NA,NA,"family_Caulobacteraceae","CUT"
3.40251395026635e-09,0.998674343357671,"family_Cellulomonadaceae","CUT"
NA,NA,"family_Chaetomiaceae","CUT"
NA,NA,"family_Chamaesiphonaceae","CUT"
NA,NA,"family_Chenopodiaceae","CUT"
3.87388256820722,0.217293822759142,"family_Chromobacteriaceae","CUT"
0.783614383676957,0.765493386815108,"family_Clavicipitaceae","CUT"
1.02802477784449,0.979905121134169,"family_Clostridiaceae","CUT"
75283064.3888053,0.998793330909582,"family_Comamonadaceae","CUT"
NA,NA,"family_Convolvulaceae","CUT"
NA,NA,"family_Corynebacteriaceae","CUT"
0.433921105303285,0.4469675657491,"family_Cryptococcaceae","CUT"
75283065.0089805,0.998793330912986,"family_Cryptosporidiidae","CUT"
NA,NA,"family_Cucurbitaceae","CUT"
NA,NA,"family_Cyanidiaceae","CUT"
NA,NA,"family_Cytophagaceae","CUT"
NA,NA,"family_Debaryomycetaceae","CUT"
NA,NA,"family_Deinococcaceae","CUT"
NA,NA,"family_Desulfovibrionaceae","CUT"
NA,NA,"family_Desulfuromonadaceae","CUT"
NA,NA,"family_Dictyosteliaceae","CUT"
2.03109034699113,0.518284718714964,"family_Dipodascaceae","CUT"
1.60697382265085,0.584596696512792,"family_Enterobacteriaceae","CUT"
NA,NA,"family_Enterococcaceae","CUT"
75283064.3888053,0.998793330909582,"family_Erythrobacteraceae","CUT"
NA,NA,"family_Euphorbiaceae","CUT"
NA,NA,"family_Fabaceae","CUT"
NA,NA,"family_Fagaceae","CUT"
0.420786386942743,0.431260892923806,"family_Flavobacteriaceae","CUT"
213493570.149205,0.999135059027885,"family_Frankiaceae","CUT"
NA,NA,"family_Funariaceae","CUT"
NA,NA,"family_Gallionellaceae","CUT"
NA,NA,"family_Geminigeraceae","CUT"
NA,NA,"family_Gemmatimonadaceae","CUT"
NA,NA,"family_Geobacteraceae","CUT"
NA,NA,"family_Geodermatophilaceae","CUT"
NA,NA,"family_Glomerellaceae","CUT"
1.58578989584317,0.674807405636045,"family_Halieaceae","CUT"
1.16786477920033,0.858176673189774,"family_Halobacteriovoraceae","CUT"
1.10998329237686,0.924180985362812,"family_Halomonadaceae","CUT"
2.03109034699113,0.518284718714964,"family_Helicobacteraceae","CUT"
3.39646910032149,0.266823858282628,"family_Hemiselmidaceae","CUT"
NA,NA,"family_Herpesviridae","CUT"
0.420786386942743,0.431260892923806,"family_Hymenobacteraceae","CUT"
0.372151483192308,0.227195469959876,"family_Hyphomonadaceae","CUT"
NA,NA,"family_Intrasporangiaceae","CUT"
0.966745065049929,0.967006554269183,"family_Kofleriaceae","CUT"
2.84649670620449,0.205470531346413,"family_Labilitrichaceae","CUT"
NA,NA,"family_Lachnospiraceae","CUT"
NA,NA,"family_Lactobacillaceae","CUT"
NA,NA,"family_Leptotrichiaceae","CUT"
0.402418210578012,0.407218387974315,"family_Leuconostocaceae","CUT"
NA,NA,"family_Lythraceae","CUT"
0.56341900481504,0.601774414285769,"family_Malasseziaceae","CUT"
NA,NA,"family_Malvaceae","CUT"
0.708259002066618,0.690814840506192,"family_Mamiellaceae","CUT"
NA,NA,"family_Methanotrichaceae","CUT"
1.03853015847632,0.965256340521463,"family_Methylobacteriaceae","CUT"
2.29402086671095,0.350523660078545,"family_Methylococcaceae","CUT"
NA,NA,"family_Methylocystaceae","CUT"
NA,NA,"family_Microbacteriaceae","CUT"
0.760012283048928,0.737551871383991,"family_Micrococcaceae","CUT"
0.952928646769901,0.96498507194958,"family_Micromonosporaceae","CUT"
NA,NA,"family_Moraxellaceae","CUT"
NA,NA,"family_Musaceae","CUT"
0.233913565121531,0.0942149631742327,"family_Mycobacteriaceae","CUT"
0.383858744231249,0.382768271098459,"family_Mycoplasmataceae","CUT"
NA,NA,"family_Mycosphaerellaceae","CUT"
NA,NA,"family_Myxococcaceae","CUT"
NA,NA,"family_Natrialbaceae","CUT"
NA,NA,"family_Nectriaceae","CUT"
75283064.3888053,0.998793330909582,"family_Nitrosomonadaceae","CUT"
1.38090066545233,0.711098691573374,"family_Nocardiaceae","CUT"
NA,NA,"family_Nocardioidaceae","CUT"
1.26258536022587,0.77576982224196,"family_Nocardiopsaceae","CUT"
0.420786386942743,0.431260892923806,"family_Nudiviridae","CUT"
NA,NA,"family_Nymphaeaceae","CUT"
NA,NA,"family_Oleaceae","CUT"
1.77441067457696,0.600948310543675,"family_Oxalobacteraceae","CUT"
18.1453645114111,0.0112123916837499,"family_Paenibacillaceae","CUT"
NA,NA,"family_Papaveraceae","CUT"
75283064.3888053,0.998793330909582,"family_Pasteurellaceae","CUT"
NA,NA,"family_Pedaliaceae","CUT"
0.456798872680503,0.475463734332512,"family_Peptoniphilaceae","CUT"
0.7890342410607,0.785114227431972,"family_Peptostreptococcaceae","CUT"
NA,NA,"family_Persicobacteraceae","CUT"
NA,NA,"family_Phaeodactylaceae","CUT"
NA,NA,"family_Phaffomycetaceae","CUT"
NA,NA,"family_Phyllobacteriaceae","CUT"
NA,NA,"family_Pichiaceae","CUT"
0.952928646769901,0.964985071949581,"family_Piscirickettsiaceae","CUT"
NA,NA,"family_Plasmodiidae","CUT"
NA,NA,"family_Poaceae","CUT"
NA,NA,"family_Promicromonosporaceae","CUT"
0.412319936320706,0.310644543125312,"family_Propionibacteriaceae","CUT"
75283064.3888053,0.998793330909582,"family_Pseudomonadaceae","CUT"
0.952928646769901,0.96498507194958,"family_Pseudonocardiaceae","CUT"
NA,NA,"family_Pyriculariaceae","CUT"
0.420786386942743,0.431260892923806,"family_Retroviridae","CUT"
NA,NA,"family_Rhamnaceae","CUT"
1.04945855243779,0.955670534566211,"family_Rhizobiaceae","CUT"
75283064.3888053,0.998793330909582,"family_Rhodobacteraceae","CUT"
4.77132723614038,0.156638029647158,"family_Rhodospirillaceae","CUT"
NA,NA,"family_Rhodothermaceae","CUT"
NA,NA,"family_Rosaceae","CUT"
NA,NA,"family_Rubiaceae","CUT"
NA,NA,"family_Ruminococcaceae","CUT"
NA,NA,"family_Rutaceae","CUT"
NA,NA,"family_Saccharomycetaceae","CUT"
NA,NA,"family_Salicaceae","CUT"
NA,NA,"family_Sarcocystidae","CUT"
0.56341900481504,0.601774414285769,"family_Schizosaccharomycetaceae","CUT"
NA,NA,"family_Sclerotiniaceae","CUT"
NA,NA,"family_Solanaceae","CUT"
NA,NA,"family_Sordariaceae","CUT"
0.595332995311066,0.549741182086174,"family_Sphingomonadaceae","CUT"
1.41191286956059,0.690814840506192,"family_Staphylococcaceae","CUT"
0.609035720923602,0.544283431278282,"family_Streptococcaceae","CUT"
NA,NA,"family_Streptomycetaceae","CUT"
NA,NA,"family_Streptosporangiaceae","CUT"
NA,NA,"family_Symbiobacteriaceae","CUT"
NA,NA,"family_Thalassiosiraceae","CUT"
NA,NA,"family_Theileriidae","CUT"
0.563567394136879,0.600948310543675,"family_Thermaceae","CUT"
1.77596279843403,0.50761149113927,"family_Thermoactinomycetaceae","CUT"
0.185528852839076,0.125340648828723,"family_Thermoanaerobacteraceae","CUT"
1.94795824452732,0.442842543945751,"family_Thermomonosporaceae","CUT"
NA,NA,"family_Thermoproteaceae","CUT"
NA,NA,"family_Trichomonascaceae","CUT"
NA,NA,"family_Trypanosomatidae","CUT"
2.45494294573518,0.3006837058097,"family_Unikaryonidae","CUT"
NA,NA,"family_Ustilaginaceae","CUT"
0.748270002788192,0.73799911348068,"family_Vibrionaceae","CUT"
NA,NA,"family_Vitaceae","CUT"
238350309.024177,0.998930608416811,"family_Xanthobacteraceae","CUT"
75283064.3888053,0.998793330909582,"family_Xanthomonadaceae","CUT"
238350308.656481,0.998930608415787,"family_Yersiniaceae","CUT"
NA,NA,"family_Zoogloeaceae","CUT"
NA,NA,"genus_Acetobacter","CUT"
0.294423405737843,0.266823858282628,"genus_Achromobacter","CUT"
NA,NA,"genus_Acidaminococcus","CUT"
1.03853015847632,0.965256340521463,"genus_Acidovorax","CUT"
0.676992220148957,0.653157691658252,"genus_Actinoalloteichus","CUT"
1.94795824452732,0.442842543945751,"genus_Actinomadura","CUT"
0.952928646769901,0.96498507194958,"genus_Actinoplanes","CUT"
0.456798872680503,0.475463734332512,"genus_Actinosynnema","CUT"
NA,NA,"genus_Aeromicrobium","CUT"
0.952928646769901,0.964985071949581,"genus_Aeromonas","CUT"
NA,NA,"genus_Agrobacterium","CUT"
2.60904009094158,0.243328000083511,"genus_Agrococcus","CUT"
0.596740986850939,0.638082574650988,"genus_Agromyces","CUT"
0.593779662825961,0.524570076869999,"genus_Alcaligenes","CUT"
2.32110090099987,0.331925711577742,"genus_Alloactinosynnema","CUT"
NA,NA,"genus_Alpharetrovirus","CUT"
0.271869161853272,0.235553193431783,"genus_Altererythrobacter","CUT"
1.58578989584317,0.674807405636045,"genus_Amycolatopsis","CUT"
0.456798872680503,0.475463734332512,"genus_Anaerococcus","CUT"
1.58578989584317,0.674807405636045,"genus_Anaeromyxobacter","CUT"
NA,NA,"genus_Anaerostipes","CUT"
NA,NA,"genus_Ananas","CUT"
NA,NA,"genus_Arabidopsis","CUT"
NA,NA,"genus_Arachis","CUT"
NA,NA,"genus_Arthrobacter","CUT"
NA,NA,"genus_Asparagus","CUT"
NA,NA,"genus_Aspergillus","CUT"
5.12676830444266,0.137171709029009,"genus_Azospirillum","CUT"
NA,NA,"genus_Babesia","CUT"
NA,NA,"genus_Bacillus","CUT"
NA,NA,"genus_Bartonella","CUT"
0.223425215787802,0.0853046480947165,"genus_Bathycoccus","CUT"
0.433921105303285,0.4469675657491,"genus_Besnoitia","CUT"
NA,NA,"genus_Beta","CUT"
75283065.0089805,0.998793330912986,"genus_Bigelowiella","CUT"
NA,NA,"genus_Blastococcus","CUT"
0.933428878323598,0.932912047121627,"genus_Bordetella","CUT"
NA,NA,"genus_Bosea","CUT"
NA,NA,"genus_Botrytis","CUT"
NA,NA,"genus_Brachypodium","CUT"
NA,NA,"genus_Bradyrhizobium","CUT"
NA,NA,"genus_Brassica","CUT"
NA,NA,"genus_Brevibacillus","CUT"
0.362812651618628,0.355302284886658,"genus_Burkholderia","CUT"
NA,NA,"genus_Cajanus","CUT"
NA,NA,"genus_Camelina","CUT"
NA,NA,"genus_Candida","CUT"
NA,NA,"genus_Candidatus","CUT"
NA,NA,"genus_Cannabis","CUT"
NA,NA,"genus_Capsicum","CUT"
NA,NA,"genus_Cedecea","CUT"
NA,NA,"genus_Cellulosimicrobium","CUT"
NA,NA,"genus_Cercospora","CUT"
NA,NA,"genus_Chamaesiphon","CUT"
3.87388256820722,0.217293822759142,"genus_Chromobacterium","CUT"
0.420786386942743,0.431260892923806,"genus_Chryseobacterium","CUT"
NA,NA,"genus_Cicer","CUT"
NA,NA,"genus_Citrobacter","CUT"
NA,NA,"genus_Citrus","CUT"
0.7890342410607,0.785114227431972,"genus_Clostridioides","CUT"
1.02802477784449,0.979905121134169,"genus_Clostridium","CUT"
1.2065261703318,0.81847444675043,"genus_Cnuibacter","CUT"
NA,NA,"genus_Coffea","CUT"
NA,NA,"genus_Colletotrichum","CUT"
NA,NA,"genus_Comamonas","CUT"
NA,NA,"genus_Corynebacterium","CUT"
NA,NA,"genus_Cronobacter","CUT"
0.756209610015867,0.747291624014517,"genus_Cryobacterium","CUT"
0.433921105303285,0.4469675657491,"genus_Cryptococcus","CUT"
75283065.0089805,0.998793330912986,"genus_Cryptosporidium","CUT"
NA,NA,"genus_Cucumis","CUT"
NA,NA,"genus_Cucurbita","CUT"
0.56356739413688,0.600948310543676,"genus_Cupriavidus","CUT"
0.162445895174317,0.0975248213803003,"genus_Curtobacterium","CUT"
0.412319936320706,0.310644543125312,"genus_Cutibacterium","CUT"
NA,NA,"genus_Cyanidioschyzon","CUT"
NA,NA,"genus_Cycloclasticus","CUT"
NA,NA,"genus_Cynara","CUT"
NA,NA,"genus_Cytomegalovirus","CUT"
NA,NA,"genus_Daucus","CUT"
2.43366249649951,0.279346098061239,"genus_Debaryomyces","CUT"
NA,NA,"genus_Deinococcus","CUT"
NA,NA,"genus_Desulfovibrio","CUT"
NA,NA,"genus_Dictyostelium","CUT"
NA,NA,"genus_Elaeis","CUT"
2.45494294573518,0.3006837058097,"genus_Encephalitozoon","CUT"
NA,NA,"genus_Enterococcus","CUT"
0.233373565699843,0.208250163982425,"genus_Eremothecium","CUT"
0.414604399268988,0.421867522481429,"genus_Escherichia","CUT"
NA,NA,"genus_Faecalibacterium","CUT"
NA,NA,"genus_Ferriphaselus","CUT"
NA,NA,"genus_Flavobacterium","CUT"
NA,NA,"genus_Fragaria","CUT"
213493570.149205,0.999135059027885,"genus_Frankia","CUT"
NA,NA,"genus_Friedmanniella","CUT"
NA,NA,"genus_Fusarium","CUT"
0.420786386942743,0.431260892923806,"genus_Gammaretrovirus","CUT"
NA,NA,"genus_Gemmatimonas","CUT"
NA,NA,"genus_Geobacter","CUT"
1.31845712069896,0.735909623820116,"genus_Glaesserella","CUT"
NA,NA,"genus_Glycine","CUT"
NA,NA,"genus_Gossypium","CUT"
NA,NA,"genus_Guillardia","CUT"
NA,NA,"genus_Haematobacter","CUT"
0.456798872680503,0.475463734332512,"genus_Haemophilus","CUT"
0.966745065049929,0.967006554269183,"genus_Haliangium","CUT"
1.58578989584317,0.674807405636045,"genus_Halioglobus","CUT"
1.16786477920033,0.858176673189774,"genus_Halobacteriovorax","CUT"
1.77441067457696,0.600948310543676,"genus_Halomonas","CUT"
NA,NA,"genus_Helianthus","CUT"
2.03109034699113,0.518284718714964,"genus_Helicobacter","CUT"
3.39646910032149,0.266823858282628,"genus_Hemiselmis","CUT"
NA,NA,"genus_Herbaspirillum","CUT"
0.372151483192308,0.227195469959876,"genus_Hirschia","CUT"
NA,NA,"genus_Hungatella","CUT"
NA,NA,"genus_Intrasporangium","CUT"
NA,NA,"genus_Ipomoea","CUT"
2.60512497117316,0.382768271098459,"genus_Janthinobacterium","CUT"
NA,NA,"genus_Kazachstania","CUT"
1.67973219673049,0.549741182086174,"genus_Kitasatospora","CUT"
1.85137768160556,0.452433939406643,"genus_Klebsiella","CUT"
NA,NA,"genus_Kluyveromyces","CUT"
NA,NA,"genus_Komagataeibacter","CUT"
NA,NA,"genus_Komagataella","CUT"
2.84649670620449,0.205470531346413,"genus_Labilithrix","CUT"
238350309.024177,0.998930608416811,"genus_Labrys","CUT"
1.77596279843403,0.50761149113927,"genus_Laceyella","CUT"
NA,NA,"genus_Lachancea","CUT"
NA,NA,"genus_Lachnoclostridium","CUT"
NA,NA,"genus_Lactobacillus","CUT"
NA,NA,"genus_Leishmania","CUT"
3.37693185668602,0.137575689666978,"genus_Lelliottia","CUT"
NA,NA,"genus_Leptotrichia","CUT"
0.402418210578012,0.407218387974315,"genus_Leuconostoc","CUT"
NA,NA,"genus_Lupinus","CUT"
0.775151188384309,0.755875445638705,"genus_Lysobacter","CUT"
0.56341900481504,0.601774414285769,"genus_Malassezia","CUT"
NA,NA,"genus_Malus","CUT"
NA,NA,"genus_Manihot","CUT"
0.243460151797464,0.198232466937007,"genus_Marinobacter","CUT"
1.34384580251479,0.734230438828517,"genus_Massilia","CUT"
NA,NA,"genus_Medicago","CUT"
NA,NA,"genus_Mesorhizobium","CUT"
NA,NA,"genus_Methanothrix","CUT"
2.29402086671095,0.350523660078545,"genus_Methylomonas","CUT"
1.46319329004811,0.66144019923564,"genus_Methylorubrum","CUT"
0.990284702768909,0.991020291415491,"genus_Microbacterium","CUT"
NA,NA,"genus_Microlunatus","CUT"
0.708259002066618,0.690814840506192,"genus_Micromonas","CUT"
NA,NA,"genus_Micromonospora","CUT"
3.00272511498283,0.181993957613936,"genus_Microvirga","CUT"
75283064.3888053,0.998793330909582,"genus_Minicystis","CUT"
1.17373791581772,0.853442804312514,"genus_Modestobacter","CUT"
0.185528852839076,0.125340648828723,"genus_Moorella","CUT"
NA,NA,"genus_Moraxella","CUT"
NA,NA,"genus_Musa","CUT"
1.58578989584317,0.674807405636045,"genus_Mycoavidus","CUT"
0.162738659690158,0.0992660092673729,"genus_Mycobacterium","CUT"
NA,NA,"genus_Mycobacteroides","CUT"
1.29321531429314,0.767804456706885,"genus_Mycolicibacterium","CUT"
0.383858744231249,0.382768271098459,"genus_Mycoplasma","CUT"
NA,NA,"genus_Myroides","CUT"
NA,NA,"genus_Myxococcus","CUT"
NA,NA,"genus_Nakaseomyces","CUT"
NA,NA,"genus_Natronolimnobius","CUT"
0.328410640276621,0.320141065355797,"genus_Naumovozyma","CUT"
NA,NA,"genus_Ndongobacter","CUT"
0.39116358910549,0.278967758741308,"genus_Neospora","CUT"
NA,NA,"genus_Neurospora","CUT"
NA,NA,"genus_Nicotiana","CUT"
75283064.3888053,0.998793330909582,"genus_Nitrosomonas","CUT"
0.840518672824357,0.874329577610271,"genus_Nitrospirillum","CUT"
NA,NA,"genus_Nocardia","CUT"
NA,NA,"genus_Nocardioides","CUT"
NA,NA,"genus_Nonomuraea","CUT"
NA,NA,"genus_Novosphingobium","CUT"
NA,NA,"genus_Nymphaea","CUT"
0.792025657434442,0.77576982224196,"genus_Oceanisphaera","CUT"
