"Taxon","Prevalence","Ref","Reference"
"g__Aggregatibacter",0.14,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Akkermansia",0.54,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Alistipes",0.94,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Allisonella",0.28,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Allobaculum",0,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Alloprevotella",0.28,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Anaerococcus",0.22,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Anaerofilum",0.12,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Anaeroglobus",0.06,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Anaerostipes",0.7,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Anaerotruncus",0.62,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Arcobacter",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Arthrobacter",0.44,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Atopobium",0.48,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Azoarcus",0,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Bacillus",0.84,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Bacteroides",1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Barnesiella",0.46,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Bergeyella",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Bifidobacterium",0.76,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Bilophila",0.84,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Blautia",0.84,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Bradyrhizobium",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Brochothrix",0.16,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Burkholderia",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Butyricicoccus",0.06,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Butyricimonas",0.6,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Butyrivibrio",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Campylobacter",0.24,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Candidatus Soleaferrea",0.28,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Candidatus Stoquefichus",0.06,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Carnobacterium",0.32,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Catabacter",0.08,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Catenibacterium",0.06,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Catonella",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Cetobacterium",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Christensenellaceae R-7 group",0.48,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Cloacibacillus",0.2,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Cloacibacterium",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Clostridium",0.66,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Collinsella",0.64,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Comamonas",0.1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Coprobacillus",0.06,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Coprobacter",0.24,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Coprococcus",0.68,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Corynebacterium",0.18,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Coxiella",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Curvibacter",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Demequina",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Desulfovibrio",0.6,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Dialister",0.66,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Diaphorobacter",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Dielma",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Dorea",0.74,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Eggerthella",0.64,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Eikenella",0.22,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Eisenbergiella",0.4,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Elusimicrobium",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Enterococcus",0.56,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Enterorhabdus",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Epulopiscium",0.08,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Erysipelatoclostridium",0.58,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Escherichia-Shigella",0.98,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Eubacterium",0.24,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Exiguobacterium",0.2,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Ezakiella",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Facklamia",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Faecalibacterium",0.9,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Faecalitalea",0.16,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Family XIII AD3011 group",0.56,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Fastidiosipila",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Filifactor",0.08,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Finegoldia",0.12,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Flavonifractor",0.72,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Fretibacterium",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Fusicatenibacter",0.48,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Fusobacterium",0.9,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Gallicola",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Gardnerella",0.08,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Gelria",0.08,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Gemella",0.7,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Gemmobacter",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Gilvimarinus",0,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Gordonibacter",0.12,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Granulicatella",0.68,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Haemophilus",0.58,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Hafnia",0.08,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Halioglobus",0,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Haloferula",0,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Helicobacter",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Holdemanella",0.24,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Holdemania",0.32,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Howardella",0.28,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Hungatella",0.68,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Hydrogenoanaerobacterium",0.12,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Incertae Sedis",0.72,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Intestinibacter",0.62,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Intestinimonas",0.34,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Isoptericola",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Janthinobacterium",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Klebsiella",0.8,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Lachnoanaerobaculum",0.1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Lachnoclostridium",0.94,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Lachnospira",0.64,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Lachnospiraceae FCS020 group",0.46,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Lachnospiraceae ND3007 group",0.4,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Lachnospiraceae NK4A136 group",0.74,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Lactobacillus",0.6,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Lactococcus",0.98,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Lactonifactor",0.16,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Leptotrichia",0.1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Leuconostoc",0.12,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Lysinibacillus",0.36,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Marvinbryantia",0.16,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Megamonas",0.38,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Megasphaera",0.34,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Methylobacterium",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Mitsuokella",0,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Mogibacterium",0.2,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Moraxella",0.08,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Morganella",0.24,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Moryella",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Mycoplasma",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Negativicoccus",0.1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Neisseria",0.08,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Oceanobacillus",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Ochrobactrum",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Odoribacter",0.66,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Olsenella",0.1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Oribacterium",0.1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Oscillibacter",0.08,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Oscillospira",0.2,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Oxalobacter",0.12,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Parabacteroides",0.92,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Paracocccus",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Paraeggerthella",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Paraprevotella",0.4,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Parasutterella",0.5,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Parvibacter",0,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Parvimonas",0.78,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Peptoclostridium",0.1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Peptococcus",0.2,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Peptoniphilus",0.12,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Peptostreptococcus",0.7,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Phascolarctobacterium",0.84,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Photobacterium",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Phyllobacterium",0.12,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Pleomorphomonas",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Porphyromonas",0.44,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Prevotella",0.76,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Prevotellaceae Ga6A1 group",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Prevotellaceae NK3B31 group",0.08,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Proteiniphilum",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Proteus",0.12,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Pseudoalteromonas",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Pseudobutyrivibrio",0.68,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Pseudomonas",0.48,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Psychrobacter",0.1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Pyramidobacter",0.16,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Reichenbachiella",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Rikenellaceae RC9 gut group",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Romboutsia",0.6,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Roseburia",0.74,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Roseobacter",0,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Rothia",0.28,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Ruegeria",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Ruminiclostridium",0.88,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Ruminococcaceae NK4A214 group",0.48,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Ruminococcus",0.62,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
