Taxon,Prevalence,Ref,Reference
c__Coscinodiscophyceae,0.997206704,Ours,ExoTIC TCGA CRC (this study)
c__Cytophagia,1,Ours,ExoTIC TCGA CRC (this study)
c__Deferribacteres,0.245810056,Ours,ExoTIC TCGA CRC (this study)
c__Dehalococcoidia,0.111731844,Ours,ExoTIC TCGA CRC (this study)
c__Deinococci,0.849162011,Ours,ExoTIC TCGA CRC (this study)
c__Deltaproteobacteria,1,Ours,ExoTIC TCGA CRC (this study)
c__Dictyoglomia,0.069832402,Ours,ExoTIC TCGA CRC (this study)
c__Dothideomycetes,1,Ours,ExoTIC TCGA CRC (this study)
c__Ellioviricetes,0.296089385,Ours,ExoTIC TCGA CRC (this study)
c__Elusimicrobia,0.078212291,Ours,ExoTIC TCGA CRC (this study)
c__Endomicrobia,0.016759777,Ours,ExoTIC TCGA CRC (this study)
c__Epsilonproteobacteria,1,Ours,ExoTIC TCGA CRC (this study)
c__Erysipelotrichia,0.251396648,Ours,ExoTIC TCGA CRC (this study)
c__Eumycetozoa,0.991620112,Ours,ExoTIC TCGA CRC (this study)
c__Eurotiomycetes,1,Ours,ExoTIC TCGA CRC (this study)
c__Fibrobacteria,0.030726257,Ours,ExoTIC TCGA CRC (this study)
c__Fimbriimonadia,0.081005587,Ours,ExoTIC TCGA CRC (this study)
c__Flavobacteriia,1,Ours,ExoTIC TCGA CRC (this study)
c__Fusobacteriia,0.983240223,Ours,ExoTIC TCGA CRC (this study)
c__Gammaproteobacteria,1,Ours,ExoTIC TCGA CRC (this study)
c__Gemmatimonadetes,0.379888268,Ours,ExoTIC TCGA CRC (this study)
c__Gloeobacteria,0.181564246,Ours,ExoTIC TCGA CRC (this study)
c__Halobacteria,0.918994413,Ours,ExoTIC TCGA CRC (this study)
c__Hydrogenophilalia,0.083798883,Ours,ExoTIC TCGA CRC (this study)
c__Ignavibacteria,0.854748603,Ours,ExoTIC TCGA CRC (this study)
c__Kiritimatiellae,0.195530726,Ours,ExoTIC TCGA CRC (this study)
c__Ktedonobacteria,0.078212291,Ours,ExoTIC TCGA CRC (this study)
c__Lentisphaeria,0.189944134,Ours,ExoTIC TCGA CRC (this study)
c__Leotiomycetes,1,Ours,ExoTIC TCGA CRC (this study)
c__Limnochordia,0.061452514,Ours,ExoTIC TCGA CRC (this study)
c__Magnoliopsida,1,Ours,ExoTIC TCGA CRC (this study)
c__Malasseziomycetes,0.997206704,Ours,ExoTIC TCGA CRC (this study)
c__Mamiellophyceae,1,Ours,ExoTIC TCGA CRC (this study)
c__Mammalia,1,Ours,ExoTIC TCGA CRC (this study)
c__Methanobacteria,0.340782123,Ours,ExoTIC TCGA CRC (this study)
c__Methanococci,0.103351955,Ours,ExoTIC TCGA CRC (this study)
c__Methanomicrobia,0.430167598,Ours,ExoTIC TCGA CRC (this study)
c__Methanopyri,0.044692737,Ours,ExoTIC TCGA CRC (this study)
c__Methylacidiphilae,0.195530726,Ours,ExoTIC TCGA CRC (this study)
c__Mollicutes,1,Ours,ExoTIC TCGA CRC (this study)
c__Monjiviricetes,0.019553073,Ours,ExoTIC TCGA CRC (this study)
c__Negativicutes,0.812849162,Ours,ExoTIC TCGA CRC (this study)
c__Nitriliruptoria,0.131284916,Ours,ExoTIC TCGA CRC (this study)
c__Nitrososphaeria,0.315642458,Ours,ExoTIC TCGA CRC (this study)
c__Nitrospira,0.148044693,Ours,ExoTIC TCGA CRC (this study)
c__Oligoflexia,0.988826816,Ours,ExoTIC TCGA CRC (this study)
c__Oligohymenophorea,0.002793296,Ours,ExoTIC TCGA CRC (this study)
c__Opitutae,0.835195531,Ours,ExoTIC TCGA CRC (this study)
c__Phycisphaerae,0.203910615,Ours,ExoTIC TCGA CRC (this study)
c__Planctomycetia,0.988826816,Ours,ExoTIC TCGA CRC (this study)
c__Rubrobacteria,0.24301676,Ours,ExoTIC TCGA CRC (this study)
c__Saccharomycetes,1,Ours,ExoTIC TCGA CRC (this study)
c__Saprospiria,0.134078212,Ours,ExoTIC TCGA CRC (this study)
c__Schizosaccharomycetes,0.837988827,Ours,ExoTIC TCGA CRC (this study)
c__Sordariomycetes,1,Ours,ExoTIC TCGA CRC (this study)
c__Spartobacteria,0.041899441,Ours,ExoTIC TCGA CRC (this study)
c__Sphingobacteriia,1,Ours,ExoTIC TCGA CRC (this study)
c__Spirochaetia,0.988826816,Ours,ExoTIC TCGA CRC (this study)
c__Synergistia,0.251396648,Ours,ExoTIC TCGA CRC (this study)
c__Thermococci,0.51396648,Ours,ExoTIC TCGA CRC (this study)
c__Thermodesulfobacteria,0.24301676,Ours,ExoTIC TCGA CRC (this study)
c__Thermoleophilia,0.184357542,Ours,ExoTIC TCGA CRC (this study)
c__Thermomicrobia,0.075418994,Ours,ExoTIC TCGA CRC (this study)
c__Thermoplasmata,0.38547486,Ours,ExoTIC TCGA CRC (this study)
c__Thermoprotei,0.905027933,Ours,ExoTIC TCGA CRC (this study)
c__Thermotogae,0.497206704,Ours,ExoTIC TCGA CRC (this study)
c__Tissierellia,0.723463687,Ours,ExoTIC TCGA CRC (this study)
c__Tremellomycetes,1,Ours,ExoTIC TCGA CRC (this study)
c__Ustilaginomycetes,1,Ours,ExoTIC TCGA CRC (this study)
c__Verrucomicrobiae,0.360335196,Ours,ExoTIC TCGA CRC (this study)
c__Zetaproteobacteria,0.030726257,Ours,ExoTIC TCGA CRC (this study)
d__Archaea,1,Ours,ExoTIC TCGA CRC (this study)
d__Bacteria,1,Ours,ExoTIC TCGA CRC (this study)
d__Eukaryota,1,Ours,ExoTIC TCGA CRC (this study)
d__Viruses,1,Ours,ExoTIC TCGA CRC (this study)
f__Acaryochloridaceae,0.025139665,Ours,ExoTIC TCGA CRC (this study)
f__Acetobacteraceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Acholeplasmataceae,0.444134078,Ours,ExoTIC TCGA CRC (this study)
f__Acidaminococcaceae,0.516759777,Ours,ExoTIC TCGA CRC (this study)
f__Acidiferrobacteraceae,0.078212291,Ours,ExoTIC TCGA CRC (this study)
f__Acidilobaceae,0.01396648,Ours,ExoTIC TCGA CRC (this study)
f__Acidimicrobiaceae,0.039106145,Ours,ExoTIC TCGA CRC (this study)
f__Acidithiobacillaceae,0.5,Ours,ExoTIC TCGA CRC (this study)
f__Acidobacteriaceae,0.620111732,Ours,ExoTIC TCGA CRC (this study)
f__Acidothermaceae,0.025139665,Ours,ExoTIC TCGA CRC (this study)
f__Ackermannviridae,0,Ours,ExoTIC TCGA CRC (this study)
f__Actinomycetaceae,0.963687151,Ours,ExoTIC TCGA CRC (this study)
f__Actinopolysporaceae,0.226256983,Ours,ExoTIC TCGA CRC (this study)
f__Adenoviridae,0.027932961,Ours,ExoTIC TCGA CRC (this study)
f__Aerococcaceae,0.139664804,Ours,ExoTIC TCGA CRC (this study)
f__Aeromonadaceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Akkermansiaceae,0.360335196,Ours,ExoTIC TCGA CRC (this study)
f__Alcaligenaceae,0.997206704,Ours,ExoTIC TCGA CRC (this study)
f__Alcanivoracaceae,0.025139665,Ours,ExoTIC TCGA CRC (this study)
f__Alicyclobacillaceae,0.863128492,Ours,ExoTIC TCGA CRC (this study)
f__Alloherpesviridae,0.008379888,Ours,ExoTIC TCGA CRC (this study)
f__Alphaflexiviridae,0,Ours,ExoTIC TCGA CRC (this study)
f__Alteromonadaceae,0.44972067,Ours,ExoTIC TCGA CRC (this study)
f__Amoebophilaceae,0.069832402,Ours,ExoTIC TCGA CRC (this study)
f__Anaerolineaceae,0.11452514,Ours,ExoTIC TCGA CRC (this study)
f__Anaplasmataceae,0.296089385,Ours,ExoTIC TCGA CRC (this study)
f__Aphanizomenonaceae,0.653631285,Ours,ExoTIC TCGA CRC (this study)
f__Aphanothecaceae,0.32122905,Ours,ExoTIC TCGA CRC (this study)
f__Apiaceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Aquificaceae,0.650837989,Ours,ExoTIC TCGA CRC (this study)
f__Archaeoglobaceae,0.148044693,Ours,ExoTIC TCGA CRC (this study)
f__Archangiaceae,0.396648045,Ours,ExoTIC TCGA CRC (this study)
f__Ardenticatenaceae,0.061452514,Ours,ExoTIC TCGA CRC (this study)
f__Arecaceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Arteriviridae,0,Ours,ExoTIC TCGA CRC (this study)
f__Ascoviridae,0.008379888,Ours,ExoTIC TCGA CRC (this study)
f__Asfarviridae,0.011173184,Ours,ExoTIC TCGA CRC (this study)
f__Asparagaceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Aspergillaceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Asteraceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Atopobiaceae,0.382681564,Ours,ExoTIC TCGA CRC (this study)
f__Aurantimonadaceae,0.12849162,Ours,ExoTIC TCGA CRC (this study)
f__Azonexaceae,0.969273743,Ours,ExoTIC TCGA CRC (this study)
f__Babesiidae,1,Ours,ExoTIC TCGA CRC (this study)
f__Bacillaceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Bacteriovoracaceae,0.058659218,Ours,ExoTIC TCGA CRC (this study)
f__Bacteroidaceae,0.891061453,Ours,ExoTIC TCGA CRC (this study)
f__Baculoviridae,0.37150838,Ours,ExoTIC TCGA CRC (this study)
f__Baekduiaceae,0.117318436,Ours,ExoTIC TCGA CRC (this study)
f__Barnesiellaceae,0.997206704,Ours,ExoTIC TCGA CRC (this study)
f__Bartonellaceae,0.642458101,Ours,ExoTIC TCGA CRC (this study)
f__Bathycoccaceae,0.98603352,Ours,ExoTIC TCGA CRC (this study)
f__Beijerinckiaceae,0.17877095,Ours,ExoTIC TCGA CRC (this study)
f__Bernardetiaceae,0.075418994,Ours,ExoTIC TCGA CRC (this study)
f__Beutenbergiaceae,0.047486034,Ours,ExoTIC TCGA CRC (this study)
f__Bifidobacteriaceae,0.466480447,Ours,ExoTIC TCGA CRC (this study)
f__Bogoriellaceae,0.195530726,Ours,ExoTIC TCGA CRC (this study)
f__Borreliaceae,0.388268156,Ours,ExoTIC TCGA CRC (this study)
f__Brachyspiraceae,0.681564246,Ours,ExoTIC TCGA CRC (this study)
f__Bradymonadaceae,0.06424581,Ours,ExoTIC TCGA CRC (this study)
f__Bradyrhizobiaceae,0.270949721,Ours,ExoTIC TCGA CRC (this study)
f__Brassicaceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Bromeliaceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Bromoviridae,0.019553073,Ours,ExoTIC TCGA CRC (this study)
f__Brucellaceae,0.62849162,Ours,ExoTIC TCGA CRC (this study)
f__Budviciaceae,0.047486034,Ours,ExoTIC TCGA CRC (this study)
f__Burkholderiaceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Caedimonadaceae,0.008379888,Ours,ExoTIC TCGA CRC (this study)
f__Caldilineaceae,0.041899441,Ours,ExoTIC TCGA CRC (this study)
f__Caldisericaceae,0.022346369,Ours,ExoTIC TCGA CRC (this study)
f__Caldisphaeraceae,0.011173184,Ours,ExoTIC TCGA CRC (this study)
f__Campylobacteraceae,0.974860335,Ours,ExoTIC TCGA CRC (this study)
f__Candidatus,0.687150838,Ours,ExoTIC TCGA CRC (this study)
f__Cannabaceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Cardiobacteriaceae,0.097765363,Ours,ExoTIC TCGA CRC (this study)
f__Carnobacteriaceae,0.215083799,Ours,ExoTIC TCGA CRC (this study)
f__Catenulisporaceae,0.083798883,Ours,ExoTIC TCGA CRC (this study)
f__Caulobacteraceae,0.240223464,Ours,ExoTIC TCGA CRC (this study)
f__Cellulomonadaceae,0.474860335,Ours,ExoTIC TCGA CRC (this study)
f__Cellvibrionaceae,0.536312849,Ours,ExoTIC TCGA CRC (this study)
f__Chaetomiaceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Chelatococcaceae,0.175977654,Ours,ExoTIC TCGA CRC (this study)
f__Chenopodiaceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Chitinophagaceae,0.536312849,Ours,ExoTIC TCGA CRC (this study)
f__Chlamydiaceae,0.952513966,Ours,ExoTIC TCGA CRC (this study)
f__Chlorobiaceae,0.905027933,Ours,ExoTIC TCGA CRC (this study)
f__Chloroflexaceae,0.05027933,Ours,ExoTIC TCGA CRC (this study)
f__Christensenellaceae,0.108938547,Ours,ExoTIC TCGA CRC (this study)
f__Chromatiaceae,0.963687151,Ours,ExoTIC TCGA CRC (this study)
f__Chromobacteriaceae,0.958100559,Ours,ExoTIC TCGA CRC (this study)
f__Chroococcaceae,0.304469274,Ours,ExoTIC TCGA CRC (this study)
f__Chroococcidiopsidaceae,0.075418994,Ours,ExoTIC TCGA CRC (this study)
f__Chrysiogenaceae,0.033519553,Ours,ExoTIC TCGA CRC (this study)
f__Chthonomonadaceae,0.06424581,Ours,ExoTIC TCGA CRC (this study)
f__Circoviridae,0,Ours,ExoTIC TCGA CRC (this study)
f__Clavicipitaceae,0.913407821,Ours,ExoTIC TCGA CRC (this study)
f__Clostridiaceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Clostridiales,0.318435754,Ours,ExoTIC TCGA CRC (this study)
f__Cohaesibacteraceae,0.044692737,Ours,ExoTIC TCGA CRC (this study)
f__Colwelliaceae,0.405027933,Ours,ExoTIC TCGA CRC (this study)
f__Comamonadaceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Conexibacteraceae,0.184357542,Ours,ExoTIC TCGA CRC (this study)
f__Coprothermobacteraceae,0.01396648,Ours,ExoTIC TCGA CRC (this study)
f__Coriobacteriaceae,0.223463687,Ours,ExoTIC TCGA CRC (this study)
f__Corynebacteriaceae,0.991620112,Ours,ExoTIC TCGA CRC (this study)
f__Coxiellaceae,0.405027933,Ours,ExoTIC TCGA CRC (this study)
f__Crocinitomicaceae,0.100558659,Ours,ExoTIC TCGA CRC (this study)
f__Cryomorphaceae,0.055865922,Ours,ExoTIC TCGA CRC (this study)
f__Cryptococcaceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Cryptomonadaceae,0.410614525,Ours,ExoTIC TCGA CRC (this study)
f__Cryptosporidiidae,0.877094972,Ours,ExoTIC TCGA CRC (this study)
f__Cucurbitaceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Cuniculiplasmataceae,0.030726257,Ours,ExoTIC TCGA CRC (this study)
f__Cyanidiaceae,0.815642458,Ours,ExoTIC TCGA CRC (this study)
f__Cyanobacteriaceae,0.041899441,Ours,ExoTIC TCGA CRC (this study)
f__Cyclobacteriaceae,0.930167598,Ours,ExoTIC TCGA CRC (this study)
f__Cystoviridae,0,Ours,ExoTIC TCGA CRC (this study)
f__Cytophagaceae,0.751396648,Ours,ExoTIC TCGA CRC (this study)
f__Debaryomycetaceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Deferribacteraceae,0.245810056,Ours,ExoTIC TCGA CRC (this study)
f__Dehalococcoidaceae,0.086592179,Ours,ExoTIC TCGA CRC (this study)
f__Dermabacteraceae,0.536312849,Ours,ExoTIC TCGA CRC (this study)
f__Dermacoccaceae,0.17877095,Ours,ExoTIC TCGA CRC (this study)
f__Dermatophilaceae,0.136871508,Ours,ExoTIC TCGA CRC (this study)
f__Dermocarpellaceae,0.539106145,Ours,ExoTIC TCGA CRC (this study)
f__Desulfarculaceae,0.131284916,Ours,ExoTIC TCGA CRC (this study)
f__Desulfobacteraceae,0.879888268,Ours,ExoTIC TCGA CRC (this study)
f__Desulfobulbaceae,0.103351955,Ours,ExoTIC TCGA CRC (this study)
f__Desulfohalobiaceae,0.033519553,Ours,ExoTIC TCGA CRC (this study)
f__Desulfomicrobiaceae,0.053072626,Ours,ExoTIC TCGA CRC (this study)
f__Desulfovibrionaceae,0.787709497,Ours,ExoTIC TCGA CRC (this study)
f__Desulfurellaceae,0.282122905,Ours,ExoTIC TCGA CRC (this study)
f__Desulfurobacteriaceae,0.055865922,Ours,ExoTIC TCGA CRC (this study)
f__Desulfurococcaceae,0.167597765,Ours,ExoTIC TCGA CRC (this study)
f__Desulfuromonadaceae,0.56424581,Ours,ExoTIC TCGA CRC (this study)
f__Dicistroviridae,0.002793296,Ours,ExoTIC TCGA CRC (this study)
f__Dictyoglomaceae,0.069832402,Ours,ExoTIC TCGA CRC (this study)
f__Dictyosteliaceae,0.991620112,Ours,ExoTIC TCGA CRC (this study)
f__Dietziaceae,0.382681564,Ours,ExoTIC TCGA CRC (this study)
f__Dipodascaceae,0.689944134,Ours,ExoTIC TCGA CRC (this study)
f__Dysgonamonadaceae,0.041899441,Ours,ExoTIC TCGA CRC (this study)
f__Ectothiorhodospiraceae,0.56424581,Ours,ExoTIC TCGA CRC (this study)
f__Eggerthellaceae,0.497206704,Ours,ExoTIC TCGA CRC (this study)
f__Egibacteraceae,0.027932961,Ours,ExoTIC TCGA CRC (this study)
f__Egicoccaceae,0.053072626,Ours,ExoTIC TCGA CRC (this study)
f__Elusimicrobiaceae,0.078212291,Ours,ExoTIC TCGA CRC (this study)
f__Emcibacteraceae,0.150837989,Ours,ExoTIC TCGA CRC (this study)
f__Endomicrobiaceae,0.016759777,Ours,ExoTIC TCGA CRC (this study)
f__Endornaviridae,0.002793296,Ours,ExoTIC TCGA CRC (this study)
f__Enterobacteriaceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Enterococcaceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Entomoplasmataceae,0.455307263,Ours,ExoTIC TCGA CRC (this study)
f__Erwiniaceae,0.706703911,Ours,ExoTIC TCGA CRC (this study)
f__Erysipelotrichaceae,0.251396648,Ours,ExoTIC TCGA CRC (this study)
f__Erythrobacteraceae,0.997206704,Ours,ExoTIC TCGA CRC (this study)
f__Eubacteriaceae,0.201117318,Ours,ExoTIC TCGA CRC (this study)
f__Euphorbiaceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Euzebyaceae,0.06424581,Ours,ExoTIC TCGA CRC (this study)
f__Fabaceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Fagaceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Ferrimonadaceae,0.027932961,Ours,ExoTIC TCGA CRC (this study)
f__Ferroplasmaceae,0.027932961,Ours,ExoTIC TCGA CRC (this study)
f__Fervidicoccaceae,0,Ours,ExoTIC TCGA CRC (this study)
f__Fervidobacteriaceae,0.407821229,Ours,ExoTIC TCGA CRC (this study)
f__Fibrobacteraceae,0.030726257,Ours,ExoTIC TCGA CRC (this study)
f__Fimbriimonadaceae,0.081005587,Ours,ExoTIC TCGA CRC (this study)
f__Flammeovirgaceae,0.980446927,Ours,ExoTIC TCGA CRC (this study)
f__Flaviviridae,0.008379888,Ours,ExoTIC TCGA CRC (this study)
f__Flavobacteriaceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Francisellaceae,0.533519553,Ours,ExoTIC TCGA CRC (this study)
f__Frankiaceae,0.966480447,Ours,ExoTIC TCGA CRC (this study)
f__Funariaceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Fusobacteriaceae,0.879888268,Ours,ExoTIC TCGA CRC (this study)
f__Gallionellaceae,0.946927374,Ours,ExoTIC TCGA CRC (this study)
f__Geminigeraceae,0.994413408,Ours,ExoTIC TCGA CRC (this study)
f__Gemmataceae,0.343575419,Ours,ExoTIC TCGA CRC (this study)
f__Gemmatimonadaceae,0.379888268,Ours,ExoTIC TCGA CRC (this study)
f__Geobacteraceae,0.977653631,Ours,ExoTIC TCGA CRC (this study)
f__Geodermatophilaceae,0.927374302,Ours,ExoTIC TCGA CRC (this study)
f__Gloeobacteraceae,0.181564246,Ours,ExoTIC TCGA CRC (this study)
f__Gloeomargaritaceae,0.058659218,Ours,ExoTIC TCGA CRC (this study)
f__Glomerellaceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Glycomycetaceae,0.089385475,Ours,ExoTIC TCGA CRC (this study)
f__Gordoniaceae,0.407821229,Ours,ExoTIC TCGA CRC (this study)
f__Gottschalkiaceae,0.067039106,Ours,ExoTIC TCGA CRC (this study)
f__Granulosicoccaceae,0.061452514,Ours,ExoTIC TCGA CRC (this study)
f__Hafniaceae,0.363128492,Ours,ExoTIC TCGA CRC (this study)
f__Hahellaceae,0.187150838,Ours,ExoTIC TCGA CRC (this study)
f__Halanaerobiaceae,0.530726257,Ours,ExoTIC TCGA CRC (this study)
f__Halieaceae,0.287709497,Ours,ExoTIC TCGA CRC (this study)
f__Haliscomenobacteraceae,0.041899441,Ours,ExoTIC TCGA CRC (this study)
f__Haloarculaceae,0.667597765,Ours,ExoTIC TCGA CRC (this study)
f__Halobacteriaceae,0.231843575,Ours,ExoTIC TCGA CRC (this study)
f__Halobacteriovoraceae,0.98603352,Ours,ExoTIC TCGA CRC (this study)
f__Halobacteroidaceae,0.072625698,Ours,ExoTIC TCGA CRC (this study)
f__Haloferacaceae,0.502793296,Ours,ExoTIC TCGA CRC (this study)
f__Halomonadaceae,0.944134078,Ours,ExoTIC TCGA CRC (this study)
f__Halorubraceae,0.245810056,Ours,ExoTIC TCGA CRC (this study)
f__Halothiobacillaceae,0.019553073,Ours,ExoTIC TCGA CRC (this study)
f__Hantaviridae,0.033519553,Ours,ExoTIC TCGA CRC (this study)
f__Helicobacteraceae,0.997206704,Ours,ExoTIC TCGA CRC (this study)
f__Heliobacteriaceae,0.131284916,Ours,ExoTIC TCGA CRC (this study)
f__Hemiselmidaceae,0.511173184,Ours,ExoTIC TCGA CRC (this study)
f__Herelleviridae,0.058659218,Ours,ExoTIC TCGA CRC (this study)
f__Herpesviridae,0.983240223,Ours,ExoTIC TCGA CRC (this study)
f__Holosporaceae,0.022346369,Ours,ExoTIC TCGA CRC (this study)
f__Hominidae,1,Ours,ExoTIC TCGA CRC (this study)
f__Hungateiclostridiaceae,0.340782123,Ours,ExoTIC TCGA CRC (this study)
f__Hydrogenophilaceae,0.083798883,Ours,ExoTIC TCGA CRC (this study)
f__Hydrogenothermaceae,0.474860335,Ours,ExoTIC TCGA CRC (this study)
f__Hyellaceae,0.027932961,Ours,ExoTIC TCGA CRC (this study)
f__Hymenobacteraceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Hyphomicrobiaceae,0.902234637,Ours,ExoTIC TCGA CRC (this study)
f__Hyphomonadaceae,0.910614525,Ours,ExoTIC TCGA CRC (this study)
f__Hytrosaviridae,0.002793296,Ours,ExoTIC TCGA CRC (this study)
f__Iamiaceae,0.134078212,Ours,ExoTIC TCGA CRC (this study)
f__Ichthyobacteriaceae,0.027932961,Ours,ExoTIC TCGA CRC (this study)
f__Idiomarinaceae,0.005586592,Ours,ExoTIC TCGA CRC (this study)
f__Ignavibacteriaceae,0.846368715,Ours,ExoTIC TCGA CRC (this study)
f__Ilumatobacteraceae,0.078212291,Ours,ExoTIC TCGA CRC (this study)
f__Immundisolibacteraceae,0.033519553,Ours,ExoTIC TCGA CRC (this study)
f__Inoviridae,0.011173184,Ours,ExoTIC TCGA CRC (this study)
f__Intrasporangiaceae,0.983240223,Ours,ExoTIC TCGA CRC (this study)
f__Iridoviridae,0.033519553,Ours,ExoTIC TCGA CRC (this study)
f__Isosphaeraceae,0.558659218,Ours,ExoTIC TCGA CRC (this study)
f__Jiangellaceae,0.32122905,Ours,ExoTIC TCGA CRC (this study)
f__Jonesiaceae,0.025139665,Ours,ExoTIC TCGA CRC (this study)
f__Kangiellaceae,0.053072626,Ours,ExoTIC TCGA CRC (this study)
f__Kineosporiaceae,0.173184358,Ours,ExoTIC TCGA CRC (this study)
f__Kiritimatiellaceae,0.195530726,Ours,ExoTIC TCGA CRC (this study)
f__Kofleriaceae,0.522346369,Ours,ExoTIC TCGA CRC (this study)
f__Kosmotogaceae,0.047486034,Ours,ExoTIC TCGA CRC (this study)
f__Labilitrichaceae,0.11452514,Ours,ExoTIC TCGA CRC (this study)
f__Lachnospiraceae,0.991620112,Ours,ExoTIC TCGA CRC (this study)
f__Lactobacillaceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Legionellaceae,0.516759777,Ours,ExoTIC TCGA CRC (this study)
f__Leptospiraceae,0.74301676,Ours,ExoTIC TCGA CRC (this study)
f__Leptotrichiaceae,0.874301676,Ours,ExoTIC TCGA CRC (this study)
f__Leuconostocaceae,0.505586592,Ours,ExoTIC TCGA CRC (this study)
f__Limnochordaceae,0.061452514,Ours,ExoTIC TCGA CRC (this study)
f__Listeriaceae,0.43575419,Ours,ExoTIC TCGA CRC (this study)
f__Litoricolaceae,0.01396648,Ours,ExoTIC TCGA CRC (this study)
f__Lythraceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Malacoherpesviridae,0.094972067,Ours,ExoTIC TCGA CRC (this study)
f__Malasseziaceae,0.997206704,Ours,ExoTIC TCGA CRC (this study)
f__Malvaceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Mamiellaceae,1,Ours,ExoTIC TCGA CRC (this study)
f__Marinifilaceae,0.798882682,Ours,ExoTIC TCGA CRC (this study)
f__Mariprofundaceae,0.030726257,Ours,ExoTIC TCGA CRC (this study)
f__Marseilleviridae,0.016759777,Ours,ExoTIC TCGA CRC (this study)
f__Melioribacteraceae,0.033519553,Ours,ExoTIC TCGA CRC (this study)
f__Merismopediaceae,0.011173184,Ours,ExoTIC TCGA CRC (this study)
f__Methanobacteriaceae,0.337988827,Ours,ExoTIC TCGA CRC (this study)
f__Methanocaldococcaceae,0.005586592,Ours,ExoTIC TCGA CRC (this study)
