"","Overall"
"s__Acinetobacter.phage.vB_AbaM_phiAbaA1",0
"s__Acinetobacter.phage.vB_AbaS_TRS1",0
"s__Acinetobacter.phage.VB_ApiP_XC38",0
"s__Acinetobacter.phage.YMC13.03.R2096",0
"s__Acinetobacter.piscicola",0
"s__Acinetobacter.pittii",0
"s__Acinetobacter.radioresistens",0.012169845620973
"s__Acinetobacter.schindleri",0.017588024536344
"s__Acinetobacter.seifertii",0
"s__Acinetobacter.septicus",0
"s__Acinetobacter.shaoyimingii",0.909306964412291
"s__Acinetobacter.soli",0
"s__Acinetobacter.sp.",0
"s__Acinetobacter.sp..10FS3.1",0
"s__Acinetobacter.sp..Ac.14",0
"s__Acinetobacter.sp..ACNIH1",0
"s__Acinetobacter.sp..ACNIH2",0
"s__Acinetobacter.sp..BEC1.S18.ESBL.01",0
"s__Acinetobacter.sp..BHS4",0
"s__Acinetobacter.sp..C16S1",0
"s__Acinetobacter.sp..Colony158",0
"s__Acinetobacter.sp..CS.2",0
"s__Acinetobacter.sp..F9",0
"s__Acinetobacter.sp..FDAARGOS_493",0
"s__Acinetobacter.sp..FDAARGOS_560",0
"s__Acinetobacter.sp..FDAARGOS_724",0
"s__Acinetobacter.sp..LoGeW2.3",0
"s__Acinetobacter.sp..M131",0
"s__Acinetobacter.sp..Marseille.Q1620",0
"s__Acinetobacter.sp..MYb10",0
"s__Acinetobacter.sp..NCu2D.2",0
"s__Acinetobacter.sp..NEB.394",0
"s__Acinetobacter.sp..NEB149",0
"s__Acinetobacter.sp..SWBY1",0
"s__Acinetobacter.sp..TGL.Y2",0
"s__Acinetobacter.sp..Tol.5",0
"s__Acinetobacter.sp..TTH0.4",0
"s__Acinetobacter.sp..WCHA45",0
"s__Acinetobacter.sp..WCHA55",0
"s__Acinetobacter.sp..WCHAc010034",0
"s__Acinetobacter.sp..WCHAc010052",0
"s__Acinetobacter.sp..WY4",0
"s__Acinetobacter.sp..YH12138",0
"s__Acinetobacter.tandoii",0
"s__Acinetobacter.towneri",0
"s__Acinetobacter.ursingii",0
"s__Acinetobacter.variabilis",0
"s__Acinetobacter.venetianus",0
"s__Acinetobacter.virus.133",0
"s__Acinetobacter.virus.AbP2",0
"s__Acinetobacter.virus.Acj61",0
"s__Acinetobacter.virus.Fri1",0
"s__Acinetobacter.virus.Lazarus",0
"s__Acinetobacter.virus.Loki",0
"s__Acinetobacter.virus.LZ35",0
"s__Acinetobacter.virus.ME3",0
"s__Acinetobacter.virus.Presley",0
"s__Acinetobacter.virus.WCHABP12",0
"s__Acinetobacter.virus.ZZ1",0.368050054999043
"s__Acinetobacter.wanghuae",0.465250488100594
"s__Acinetobacter.wuhouensis",0
"s__Actinoalloteichus.hoggarensis",1.6146951930325
"s__Actinoalloteichus.sp..GBA129.24",0
"s__Actinobacillus.delphinicola",0
"s__Actinobacillus.equuli",0
"s__Actinobacillus.indolicus",0
"s__Actinobacillus.lignieresii",0
"s__Actinobacillus.porcitonsillarum",0
"s__Actinobacillus.suis",0
"s__Actinobaculum.sp..313",0
"s__Actinocatenispora.thailandica",5.04758945753986
"s__Actinomadura.sp..WMMB.499",1.23526240160946
"s__Actinomarinicola.tropica",0.394831838667892
"s__Actinomyces.faecalis",0
"s__Actinomyces.marmotae",0
"s__Actinomyces.qiguomingii",0
"s__Actinomyces.sp..Chiba101",0
"s__Actinomyces.sp..HMT.175",0
"s__Actinomyces.sp..oral.taxon.169",0
"s__Actinomyces.sp..zg.332",0
"s__Actinoplanes.ianthinogenes",0
"s__Actinoplanes.missouriensis",0
"s__Actinoplanes.sp..N902.109",0
"s__Actinoplanes.sp..SE50.110",0
"s__Actinopolymorpha.singaporensis",4.88059337102794
"s__Actinosynnema.mirum",0
"s__Actinosynnema.pretiosum",0.786616466062876
"s__Actinotignum.schaalii",0
"s__Adhaeribacter.swui",0
"s__Advenella.kashmirensis",0
"s__Aequoribacter.fuscus",0
"s__Aeribacillus.pallidus",0
"s__Aeribacillus.virus.AP45",0
"s__Aerococcus.urinae",0
"s__Aerococcus.urinaeequi",0
"s__Aeromonas.dhakensis",0
"s__Aeromonas.hydrophila",0
"s__Aeromonas.phage.LAh_7",0
"s__Aeromonas.rivipollensis",0
"s__Aeromonas.simiae",0
"s__Aeromonas.sobria",0
"s__Aeromonas.sp..1805",0
"s__Aeromonas.sp..2692.1",0
"s__Aeromonas.sp..ASNIH1",0
"s__Aeromonas.sp..ASNIH2",0
"s__Aeromonas.sp..ASNIH4",0
"s__Aeromonas.sp..ASNIH5",0
"s__Aeromonas.sp..ASNIH7",0
"s__Aeromonas.sp..CA23",0
"s__Aeromonas.sp..CU5",0
"s__Aeromonas.sp..FDAARGOS.1402",0
"s__Aeromonas.sp..FDAARGOS.1403",0
"s__Aeromonas.sp..FDAARGOS.1404",0
"s__Aeromonas.sp..FDAARGOS.1405",0
"s__Aeromonas.sp..FDAARGOS.1406",0
"s__Aeromonas.sp..FDAARGOS.1407",0
"s__Aeromonas.sp..FDAARGOS.1408",0
"s__Aeromonas.sp..FDAARGOS.1409",0
"s__Aeromonas.sp..FDAARGOS.1410",0
"s__Aeromonas.sp..FDAARGOS.1411",0
"s__Aeromonas.sp..FDAARGOS.1414",0
"s__Aeromonas.sp..FDAARGOS.1415",0
"s__Aeromonas.sp..FDAARGOS.1418",0
"s__Aeromonas.sp..FDAARGOS.1419",0
"s__Aeromonas.taiwanensis",0
"s__Aeromonas.virus.56",0
"s__Aeromonas.virus.65",0
"s__Aeromonas.virus.AhSzw1",0
"s__Aeropyrum.camini",0
"s__Aeropyrum.pernix",0
"s__Aerosticca.soli",0
"s__Aestuarium.zhoushanense",0
"s__Afipia.carboxidovorans",0.552641791912835
"s__Afipia.sp..GAS231",0
"s__Agarilytica.rhodophyticola",0
"s__Agarivorans.aestuarii",0
"s__Agarivorans.albus",0
"s__Agarivorans.gilvus",0
"s__Aggregatibacter.sp..2125159857",0
"s__Aggregatibacter.sp..oral.taxon.513",0
"s__Agrobacterium.fabacearum",0
"s__Agrobacterium.fabrum",0
"s__Agrobacterium.genomosp..3",0
"s__Agrobacterium.larrymoorei",0
"s__Agrobacterium.rhizogenes",0
"s__Agrobacterium.rubi",0
"s__Agrobacterium.sp..CGMCC.11546",0
"s__Agrobacterium.sp..RAC06",0
"s__Agrobacterium.sp..S7.73",0
"s__Agrobacterium.sp..T29",0
"s__Agrobacterium.tumefaciens",2.85954388077249
"s__Agrococcus.sp..SGAir0287",0
"s__Agromyces.aureus",0
"s__Agromyces.badenianii",0
"s__Agromyces.flavus",0
"s__Agromyces.intestinalis",0
"s__Agromyces.laixinhei",0
"s__Agromyces.protaetiae",0
"s__Agromyces.sp..G127AT",0
"s__Agromyces.sp..LHK192",0
"s__Akkermansia.glycaniphila",0
"s__Akkermansia.muciniphila",0
"s__Alcaligenes.aquatilis",0
"s__Alcaligenes.faecalis",2.762015600643
"s__Alcaligenes.sp..HO.1",0
"s__Alcaligenes.sp..SORT26",0
"s__Alfalfa.mosaic.virus",0
"s__Algibacter.alginicilyticus",0
"s__Algibacter.sp..L1A34",0
"s__Algicoccus.marinus",0
"s__Algoriphagus.machipongonensis",0
"s__Algoriphagus.sp..Y33",0
"s__Aliarcobacter.butzleri",0
"s__Aliarcobacter.cibarius",0
"s__Aliarcobacter.cryaerophilus",0
"s__Aliarcobacter.lanthieri",0
"s__Aliarcobacter.skirrowii",0
"s__Aliarcobacter.thereius",0
"s__Aliarcobacter.trophiarum",0
"s__Alicyclobacillus.ferrooxydans",0
"s__Alicyclobacillus.sp..SO9",0
"s__Alistipes.communis",0
"s__Alistipes.dispar",0
"s__Alistipes.finegoldii",0
"s__Alistipes.onderdonkii",0
"s__Alistipes.shahii",0
"s__Alkalicella.caledoniensis",0
"s__Alkalihalobacillus.clausii",0
"s__Alkalihalobacillus.halodurans",0
"s__Alkalihalobacillus.krulwichiae",0
"s__Alkalihalobacillus.lehensis",0
"s__Alkalihalobacillus.miscanthi",0
"s__Alkalihalobacillus.pseudofirmus",0
"s__Alkalilimnicola.ehrlichii",0
"s__Allochromatium.tepidum",0
"s__Allochromatium.vinosum",0
"s__Allofrancisella.guangzhouensis",0
"s__Allofrancisella.inopinata",0
"s__Alloprevotella.sp..E39",0
"s__Altererythrobacter.epoxidivorans",0
"s__Altibacter.sp..ALE3EI",0
"s__Alysiella.filiformis",0
"s__Aminobacter.sp..MDW.2",0
"s__Aminobacterium.colombiense",0.0248952497477044
"s__Amphritea.japonica",0
"s__Amsacta.moorei.entomopoxvirus",0
"s__Amycolatopsis.albispora",0
"s__Amycolatopsis.japonica",0
"s__Amycolatopsis.keratiniphila",0
"s__Amycolatopsis.mediterranei",0.463053303399115
"s__Amycolatopsis.orientalis",0
"s__Amycolatopsis.sp..AA4",0
"s__Amycolatopsis.sp..CA.230715",2.02050093416449
"s__Amycolatopsis.sp..DSM.110486",0
"s__Amycolatopsis.sp..FDAARGOS.1241",0
"s__Amycolatopsis.sp..TNS106",0
"s__Amycolatopsis.sp..YIM.10",1.43416546783983
"s__Amycolatopsis.sp..YIM.96748",0
"s__Amylolactobacillus.amylophilus",0
"s__Anabaenopsis.circularis",0
"s__Anabaenopsis.elenkinii",0
"s__Anaerobacillus.isosaccharinicus",0
"s__Anaerobutyricum.hallii",0
"s__Anaerococcus.mediterraneensis",0
"s__Anaerococcus.prevotii",0
"s__Anaerocolumna.cellulosilytica",0
"s__Anaerocolumna.sedimenticola",0
"s__Anaerolinea.sp...rifampicinis.",0
"s__Anaerolinea.thermophila",0
"s__Anaerostipes.rhamnosivorans",0
"s__Anaplasma.phagocytophilum",0
"s__Anaplasma.platys",0
"s__Ancylobacter.pratisalsi",0
"s__Ancylobacter.sp..TS.1",0
"s__Aneurinibacillus.soli",0
"s__Anoxybacillus.amylolyticus",0
"s__Anoxybacillus.gonensis",0
"s__Anoxybacillus.kamchatkensis",0
"s__Anoxybacillus.sp..PDR2",0
"s__Anoxybacillus.virus.A403",0
"s__Aphid.lethal.paralysis.virus",0
"s__Apibacter.sp..B3706",0
"s__Apibacter.sp..ESL0404",0
"s__Apilactobacillus.bombintestini",0
"s__Apilactobacillus.kunkeei",0
"s__Apis.mellifera.filamentous.virus",0
"s__Aquaspirillum.sp..LM1",0
"s__Aquifex.aeolicus",0
"s__Aquiflexum.balticum",0
"s__Aquimarina.sp..AD1",0
"s__Aquimarina.sp..AD10",0
"s__Aquimarina.sp..BL5",0
"s__Aquimarina.sp..TRL1",2.42845740520843
"s__Aquisalimonas.sp..2447",0
"s__Aquitalea.sp..USM4",0
"s__Arachidicoccus.ginsenosidivorans",1.19160701951581
"s__Arachidicoccus.sp..B3.10",0
"s__Arachidicoccus.sp..BS20",0
"s__Arachnia.rubra",0
"s__Arcanobacterium.haemolyticum",0
"s__Arcanobacterium.sp..JY.X040",0
"s__Archaeoglobus.fulgidus",0
"s__Archaeoglobus.profundus",0
"s__Archaeoglobus.sulfaticallidus",0
"s__Archangium.violaceum",0.798578617732231
"s__Arcobacter.anaerophilus",0
"s__Arcobacter.aquimarinus",0
"s__Arcobacter.cloacae",0
"s__Arcobacter.defluvii",0
"s__Arcobacter.ellisii",0
"s__Arcobacter.nitrofigilis",0
"s__Arcobacter.peruensis",0
"s__Arcobacter.venerupis",0
"s__Arcticibacterium.luteifluviistationis",0
"s__Aromatoleum.bremense",0
"s__Aromatoleum.petrolei",0
"s__Arsenicicoccus.sp..oral.taxon.190",0
"s__Arsenophonus.endosymbiont.of.Aleurodicus.dispersus",0
"s__Arsenophonus.endosymbiont.of.Aphis.craccivora",0
"s__Arsenophonus.nasoniae",0
"s__Asaia.bogorensis",0
"s__Aspergillus.flavus",0
"s__Aspergillus.fumigatus",2.52104478686915
"s__Aspergillus.puulaauensis",1.0374624190291
"s__Atlantibacter.hermannii",0
"s__Atopobium.sp..oral.taxon.416",0
"s__Aurantiacibacter.atlanticus",0
"s__Aurantiacibacter.gangjinensis",0
"s__Aurantimicrobium.minutum",0
"s__Aurantimicrobium.sp..MWH.Mo1",0.739995087777929
"s__Aureimonas.mangrovi",0
"s__Aureimonas.ureilytica",0
"s__Aureliella.helgolandensis",0
"s__Austwickia.chelonae",0.568560349957964
"s__Autographa.californica.multiple.nucleopolyhedrovirus",0
"s__Azorhizobium.caulinodans",0
"s__Azotobacter.salinestris",0
"s__Babesia.bovis",2.48416597922291
"s__Bacillus.aerophilus",0
"s__Bacillus.albus",0
"s__Bacillus.altitudinis",0
"s__Bacillus.amyloliquefaciens",0
"s__Bacillus.anthracis",0
"s__Bacillus.atrophaeus",0.515479254146047
"s__Bacillus.beveridgei",0
"s__Bacillus.bombysepticus",0
"s__Bacillus.cereus",22.1189113348355
"s__Bacillus.cytotoxicus",0
"s__Bacillus.dafuensis",0
"s__Bacillus.fonticola",0
"s__Bacillus.freudenreichii",0
"s__Bacillus.glycinifermentans",0
"s__Bacillus.gobiensis",0
"s__Bacillus.haikouensis",0
"s__Bacillus.halotolerans",0
"s__Bacillus.haynesii",0
"s__Bacillus.inaquosorum",0
"s__Bacillus.infantis",0
"s__Bacillus.licheniformis",0
"s__Bacillus.luti",0
"s__Bacillus.methanolicus",0
"s__Bacillus.mobilis",0
"s__Bacillus.mojavensis",0
"s__Bacillus.mycoides",0
"s__Bacillus.nitratireducens",0
"s__Bacillus.pacificus",0
"s__Bacillus.paralicheniformis",0
"s__Bacillus.paranthracis",0
"s__Bacillus.phage.0305phi8.36",0
"s__Bacillus.phage.Phrodo",0
"s__Bacillus.phage.SP.10",0
"s__Bacillus.phage.vB_BanS.Tsamsa",0
"s__Bacillus.pseudomycoides",0
"s__Bacillus.pumilus",0
"s__Bacillus.safensis",0
"s__Bacillus.siamensis",0.395549433152972
"s__Bacillus.smithii",0
"s__Bacillus.sonorensis",0
"s__Bacillus.sp..1NLA3E",0
"s__Bacillus.sp..3a",0
"s__Bacillus.sp..7D3",0
"s__Bacillus.sp..A260",0
"s__Bacillus.sp..ABP14",0
"s__Bacillus.sp..AM1.2019.",0
"s__Bacillus.sp..B25.2016b.",0
"s__Bacillus.sp..BD59S",0
"s__Bacillus.sp..BS98",0
"s__Bacillus.sp..COPE52",0
"s__Bacillus.sp..Cs.700",0
"s__Bacillus.sp..DSL.17",0
"s__Bacillus.sp..FDAARGOS_235",0
"s__Bacillus.sp..FDAARGOS_527",0
"s__Bacillus.sp..FJAT.14266",0
"s__Bacillus.sp..FJAT.18017",0
"s__Bacillus.sp..FJAT.22090",0
"s__Bacillus.sp..FJAT.42376",0
"s__Bacillus.sp..FJAT.45348",0
"s__Bacillus.sp..HBCD.sjtu",0
"s__Bacillus.sp..HD4P25",0
"s__Bacillus.sp..IHB.B.7164",0
"s__Bacillus.sp..JAS24.2",0
"s__Bacillus.sp..JNUCC.22",0
"s__Bacillus.sp..JNUCC.24",0
"s__Bacillus.sp..JS",0
"s__Bacillus.sp..KH172YL63",0
"s__Bacillus.sp..LJBS06",0
"s__Bacillus.sp..LJBS17",0
"s__Bacillus.sp..LJBV19",0
"s__Bacillus.sp..Lzh.5",0
"s__Bacillus.sp..M4U3P1",0
"s__Bacillus.sp..MBGLi79",0
"s__Bacillus.sp..ms.22",0
"s__Bacillus.sp..N1.1",0
"s__Bacillus.sp..N3536",0
"s__Bacillus.sp..NP157",0
"s__Bacillus.sp..NSP9.1",0
"s__Bacillus.sp..OxB.1",0
"s__Bacillus.sp..PAMC26568",0
"s__Bacillus.sp..PAMC28748",0
"s__Bacillus.sp..PDNC022",0.0991946181980537
"s__Bacillus.sp..RZ2MS9",0
"s__Bacillus.sp..S3",0
"s__Bacillus.sp..SB49",0
"s__Bacillus.sp..SYJ",0
"s__Bacillus.sp..THAF10",0
"s__Bacillus.sp..TK.2",0
"s__Bacillus.sp..V3",0
"s__Bacillus.sp..WP8",0
"s__Bacillus.sp..X1.2014.",0
"s__Bacillus.sp..Y.01",0
"s__Bacillus.sp..Y1",0
"s__Bacillus.sp..ZY.1.1",0
"s__Bacillus.spizizenii",0
"s__Bacillus.subtilis",0
"s__Bacillus.tequilensis",0
"s__Bacillus.thuringiensis",0
"s__Bacillus.toyonensis",0
"s__Bacillus.tropicus",0
"s__Bacillus.vallismortis",0
"s__Bacillus.velezensis",0
"s__Bacillus.virus.1",0
"s__Bacillus.virus.Andromeda",0
"s__Bacillus.virus.Aurora",0
"s__Bacillus.virus.Bastille",0
"s__Bacillus.virus.BCD7",0
"s__Bacillus.virus.Bcp1",0
"s__Bacillus.virus.BCP82",0
"s__Bacillus.virus.Bigbertha",0
"s__Bacillus.virus.Bobb",0
"s__Bacillus.virus.Deepblue",0
"s__Bacillus.virus.G",0
"s__Bacillus.virus.GA1",0
"s__Bacillus.virus.Goe4",0
"s__Bacillus.virus.Grass",0
"s__Bacillus.virus.IEBH",0
"s__Bacillus.virus.JL",0
"s__Bacillus.virus.Mater",0
"s__Bacillus.virus.Moonbeam",0
"s__Bacillus.virus.NIT1",0
"s__Bacillus.virus.phi29",0
"s__Bacillus.virus.Riggi",0
"s__Bacillus.virus.Shbh1",0
"s__Bacillus.virus.SIOphi",0
"s__Bacillus.virus.SP15",0
"s__Bacillus.virus.SPO1",0
"s__Bacillus.virus.Spock",0
"s__Bacillus.virus.Stahl",0
"s__Bacillus.virus.Stills",0
"s__Bacillus.virus.vBBsuMGoe3",0
"s__Bacillus.virus.WPh",0
"s__Bacillus.weihaiensis",0
"s__Bacillus.wiedmannii",0
"s__Bacterioplanes.sanyensis",0
"s__Bacteroides.caccae",2.57545117803712
"s__Bacteroides.cellulosilyticus",0
"s__Bacteroides.coprosuis",0.572951083135012
"s__Bacteroides.eggerthii",0
"s__Bacteroides.intestinalis",0
"s__Bacteroides.luhongzhouii",0
"s__Bacteroides.ovatus",0.916858675807977
"s__Bacteroides.phage.crAss001",0
"s__Bacteroides.salyersiae",0
"s__Bacteroides.sp..A1C1",0
"s__Bacteroides.sp..PHL.2737",0
"s__Bacteroides.uniformis",10.0057332029021
"s__Barnesiella.viscericola",0
"s__Bartonella.alsatica",0
"s__Bartonella.ancashensis",0
"s__Bartonella.apis",0
"s__Bartonella.australis",0
"s__Bartonella.bacilliformis",0
"s__Bartonella.birtlesii",0
"s__Bartonella.bovis",0
"s__Bartonella.clarridgeiae",0
"s__Bartonella.elizabethae",0
"s__Bartonella.grahamii",0
"s__Bartonella.henselae",0
"s__Bartonella.kosoyi",0
"s__Bartonella.krasnovii",0
"s__Bartonella.quintana",0
"s__Bartonella.schoenbuchensis",0
"s__Bartonella.sp..1.1C",0
"s__Bartonella.sp..11B",0
"s__Bartonella.sp..A1379B",0
"s__Bartonella.sp..HY038",0
"s__Bartonella.sp..Raccoon60",0
"s__Bartonella.sp..WD16.2",0
"s__Bartonella.tribocorum",0
"s__Bartonella.vinsonii",0
"s__Bathycoccus.sp..RCC1105.virus.BpV",0
"s__Bathymodiolus.septemdierum.thioautotrophic.gill.symbiont",0
"s__Bathymodiolus.thermophilus.thioautotrophic.gill.symbiont",0
"s__Belliella.baltica",0
"s__Bergeyella.cardium",0
"s__Bermuda.grass.latent.virus",0
"s__Berryella.intestinalis",0
"s__Besnoitia.besnoiti",2.1386966592734
"s__Bifidobacterium.actinocoloniiforme",0
"s__Bifidobacterium.adolescentis",0
"s__Bifidobacterium.angulatum",0
"s__Bifidobacterium.animalis",0
"s__Bifidobacterium.asteroides",0
"s__Bifidobacterium.bifidum",0
"s__Bifidobacterium.breve",0
"s__Bifidobacterium.catenulatum",0
"s__Bifidobacterium.choerinum",0
"s__Bifidobacterium.coryneforme",0
"s__Bifidobacterium.dentium",3.42739916414582
"s__Bifidobacterium.eulemuris",0
"s__Bifidobacterium.imperatoris",0
"s__Bifidobacterium.indicum",0
"s__Bifidobacterium.lemurum",0
"s__Bifidobacterium.longum",1.17290183960074
"s__Bifidobacterium.pseudocatenulatum",0
"s__Bifidobacterium.pseudolongum",0
"s__Bifidobacterium.pullorum",0
"s__Bifidobacterium.saguini",0
"s__Bifidobacterium.scardovii",0
"s__Bifidobacterium.subtile",0
"s__Bifidobacterium.thermophilum",0
"s__Bigelowiella.natans",1.31938951903455
"s__Biomaibacter.acetigenes",0
"s__Bisgaardia.hudsonensis",0
"s__Blastococcus.saxobsidens",0
"s__Blastomonas.sp..RAC04",0
"s__Blautia.argi",0.00701358618068264
"s__Blautia.sp..SC05B48",0
"s__Blochmannia.endosymbiont.of.Camponotus..Colobopsis..obliquus",0
"s__Blochmannia.endosymbiont.of.Camponotus.nipponensis",0
"s__Blochmannia.endosymbiont.of.Colobopsis.nipponica",0
"s__Blochmannia.endosymbiont.of.Polyrhachis..Hedomyrma..turneri",0
"s__Bombyx.mori.nucleopolyhedrovirus",0
"s__Bordetella.avium",0
"s__Bordetella.flabilis",0
"s__Bordetella.genomosp..13",0
"s__Bordetella.genomosp..8",0
"s__Bordetella.genomosp..9",0
"s__Bordetella.holmesii",2.04921090387375
"s__Bordetella.parapertussis",0
"s__Bordetella.pseudohinzii",0
"s__Bordetella.sp..H567",0
"s__Bordetella.sp..N",0
"s__Borrelia.anserina",0.848202233403887
"s__Borrelia.coriaceae",0
"s__Borrelia.crocidurae",0
"s__Borrelia.hermsii",0
"s__Borrelia.maritima",0
"s__Borrelia.miyamotoi",0
"s__Borrelia.parkeri",0
"s__Borrelia.recurrentis",0
"s__Borrelia.sp..A.FGy1",0
"s__Borrelia.sp..HM",0
"s__Borrelia.turcica",0
"s__Borrelia.turicatae",0
"s__Borreliella.afzelii",0
"s__Borreliella.bavariensis",0
"s__Borreliella.bissettiae",0
"s__Borreliella.burgdorferi",0
"s__Borreliella.garinii",0
"s__Borreliella.mayonii",0
"s__Borreliella.spielmanii",0
"s__Borreliella.valaisiana",0
"s__Boseongicola.sp..CCM32",0
"s__Botrytis.cinerea",5.66410567576549
"s__Boudabousia.tangfeifanii",0
"s__Brachybacterium.ginsengisoli",0
"s__Brachybacterium.sp..P6.10.X1",0
"s__Brachyspira.hampsonii",0
"s__Brachyspira.hyodysenteriae",0
"s__Brachyspira.intermedia",0
"s__Brachyspira.murdochii",2.183515645423
"s__Brachyspira.pilosicoli",0
"s__Bradymonas.sediminis",0
"s__Brenneria.goodwinii",0
"s__Brenneria.izadpanahii",0
"s__Brenneria.rubrifaciens",0
"s__Brettanomyces.bruxellensis",0.482498309516889
"s__Brettanomyces.nanus",7.34336418416744
"s__Brevefilum.fermentans",0
"s__Brevilactibacter.coleopterorum",0
"s__Breznakiella.homolactica",0
"s__Brome.mosaic.virus",0
"s__Brucella.abortus",0
"s__Brucella.canis",0
"s__Brucella.inopinata",0
"s__Brucella.intermedia",0
"s__Brucella.melitensis",0
"s__Brucella.pinnipedialis",0
"s__Brucella.pituitosa",0
"s__Brucella.sp..09RB8910",0
"s__Brucella.sp..10RB9215",0
"s__Brucella.sp..2280",0
"s__Brucella.sp..458",0
"s__Brucella.sp..6810",0
"s__Brucella.sp..BO2",0
"s__Brucella.sp..BO3",0
"s__Brucella.sp..BTU1",0
"s__Bubaline.alphaherpesvirus.1",0
"s__Bulleidia.sp..zg.1006",0
"s__Burkholderia.ambifaria",0
"s__Burkholderia.anthina",0
"s__Burkholderia.cenocepacia",1.17049937294616
"s__Burkholderia.cepacia",0
"s__Burkholderia.contaminans",0
"s__Burkholderia.diffusa",0
"s__Burkholderia.dolosa",0
"s__Burkholderia.gladioli",0
"s__Burkholderia.glumae",3.57601176441538
"s__Burkholderia.lata",0
"s__Burkholderia.latens",0
"s__Burkholderia.mallei",2.76598505242269
"s__Burkholderia.metallica",0
"s__Burkholderia.multivorans",0
"s__Burkholderia.oklahomensis",0
"s__Burkholderia.phage.Mana",0
"s__Burkholderia.phage.phiE094",0
"s__Burkholderia.plantarii",0
"s__Burkholderia.pseudomallei",0
"s__Burkholderia.pseudomultivorans",0
"s__Burkholderia.pyrrocinia",0
"s__Burkholderia.seminalis",0
"s__Burkholderia.sp..BDU6",0
"s__Burkholderia.sp..BDU8",0
"s__Burkholderia.sp..Bp7605",0
"s__Burkholderia.sp..CCGE1003",0
"s__Burkholderia.sp..DHOD12",3.64583733498981
"s__Burkholderia.sp..IDO3",0
"s__Burkholderia.sp..JP2.270",0
"s__Burkholderia.sp..KBS0801",0
"s__Burkholderia.sp..KJ006",0
"s__Burkholderia.sp..KK1",0
"s__Burkholderia.sp..LA.2.3.30.S1.D2",0
"s__Burkholderia.sp..LAS2",0
"s__Burkholderia.sp..MBR.1",0
"s__Burkholderia.sp..MS389",0
"s__Burkholderia.sp..MS455",0
"s__Burkholderia.sp..MSMB0266",0
"s__Burkholderia.sp..MSMB0852",0
"s__Burkholderia.sp..MSMB0856",0
