"","Input Sample","B cells naive","B cells memory","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","TILs","cancer"
"17","SL242332",0.066406534544079,0.0451020974018515,0,0,0.0846862803372085,0,0.0537276944021295,0.0338134586980533,0,0,0.0414371103230954,0.967552988983169,0.0655072042462529,0.356734445058663,0,0,0,0.0823045181072141,0,0,1.79727233210172,"SAR"
"18","SL242338",0.0125008012788944,0,0.0867622048287826,0,0.0399506809255307,0.0409337229894767,0.0359020568008949,0.00244535613861558,0,0,0.0617227858556765,0,0.0517161239790563,0.0463904682892973,0.00582223033909412,0.0183928246660631,0,0.14229464177476,0.00346112987282249,0.00601620554433132,0.554311233283296,"GI"
"19","SL242339",4e-04,0,0.0215072213727888,0,0.0371200266463108,0.0306000191612707,0,0,0,0,0.0267336749347003,0.116837859611153,0.0206466320916808,0.0580567035854149,0,0.0184655140024905,0,0.0574681109034791,0,0,0.387835762309288,"THO"
"20","SL242341",0.0129241835277892,0,0.0103917332262475,0,0.0989897228456196,0,0.00738993212030789,0.0198937733243387,0,0,0.00704152613730401,0.192579993597561,0.0156220587689323,0.0953041639952299,0.00184391002746788,0,0,0.064904679344768,0,0,0.526885676915566,"GI"
"21","SL242344",0,0,0.164104474612673,0,0.127581147741704,0,0,0,0.0256960074929649,0,0.0721261162881422,0.0749398846083754,0.0697339399681843,0.24483059057464,0,0,0,0.00872828782575289,0,0.0408876441592123,0.828628093271649,"RCC"
"22","SL242346",0.0642623615463434,0,0.126548565670846,0,0.110003115836181,0.178281649287487,0.0386477825199044,0,0,0,0.077919745022516,0.132734550181668,0.0581975239294017,0.0640452442539739,3e-04,0,0,0.0537309935709411,0,0.00586903756825227,0.910540569387514,"THO"
"23","SL242347",0.00387784862931353,0,0.172316316468599,0,0,0.152667621448783,0,0,0.00338220402761161,0,0.0311879893777501,0.0359126586594954,0.0323349654617223,0.0860071312619595,0,0,0,0.214402401030069,0,0.00155030132545349,0.733639437690757,"GI"
"24","SL242348",0,0.00369485331253123,0.400287201079947,0,0.379595044978485,0,0.0528290415604535,0,0.0343284581186981,0,0.0886118363614725,0,0.183856238590694,0.392059715608519,0,0,0,0.0652238307263086,0,7e-04,1.60118622033711,"RCC"
"25","SL242349",0.0183152449332755,0,0.0128871657460219,0,0.0555000094848838,0.0297851057627944,0,0,0,0.0179283230818738,0,0.0426490734190521,0.0113701788249205,0.0165089172456765,2e-04,0.00322728481055826,0,0.0805435605460225,0,0,0.288914863855079,"GI"
"26","SL242351",0.0131773340090144,0.0106818272819079,0.155291995217386,0,0.156317569838047,0.165360888008779,0.0130141566846894,0,0,0,0.0639017927448447,0.19885524342453,0.113077676476735,0.239738290685668,0.0146063944773763,0,0,0.106099717637934,0,0.00623627304344051,1.25635915953035,"THO"
"27","SL242352",0.0102541285532217,0.00781992858630969,0.316987741556775,0,0.236547473473241,0.0413237721949952,0.0570051733079112,0,0.013988911121519,0,0.0398150744523646,0.0339227142569881,0.0349550564207103,0.562414909205058,0.0238524102129017,0,0,0.0400837739495959,5e-04,0.0178460032888735,1.43731707058046,"THO"
"28","SL242353",0,0,0,0,0.017896601632535,0,0.0167713823232321,0,0,0,0.0110048239655564,0.0934945830637862,0.00198209706168072,0.206987707739003,0,0,0,0.0229322057488676,0,0.00158524695995327,0.372654648494615,"SAR"
"29","SL242356",0,0.0963082614228102,0.118014370798813,0,0.190466560548809,0.00231505666251234,0.00755574023720642,0,0,0,0.0535013640315763,0.0969537402935161,0.0588054049194143,0.204504693007264,0.001,0,0.143812148652239,0.00606585119085715,0,0,0.979303191765017,"THO"
"30","SL242361",0.0176945988531633,0,0.0106235439641835,0,0.118282234222183,0.0705038691799903,3e-04,0,0,0.00211248172599952,0.0267391874205147,0.102694902479869,0.00484094652250155,0.0669816001384593,0,0,0,0.108693479428511,0,0,0.529466843935375,"GI"
"31","SL242362",0,0.0024922281077234,0,0,0.0428036370286176,0,0,0,0,1e-04,0.0145184346809992,0.0210125717052073,5e-04,0.00689015776751081,0,0,0.0265379262575095,0,1e-04,0,0.114954955547568,"GI"
"32","SL242365",0.0141516144464436,0,0.161479845267042,0,0.204905143148277,0.0346782399003138,0.0267462780601103,0,0,0,0.056854891386125,0.227660763375256,0.0470717465035384,0.180570618223873,0.016462912214236,0,0,0.180328488108455,0,0.0090728587641865,1.15998339939786,"THO"
"33","SL242366",0.0280317516078428,0,0.201267404393899,0,0.121291353412502,0,0.029235869107109,0,0,0,0.0494863560993726,0.243129041711056,0.0761071135322207,0.703434193542185,0.0827562161718988,0,0,0.219517512933909,0,0,1.75425681251199,"SAR"
"34","SL242367",0,0.0225102739953648,0.300030846903599,0,0.143785473502505,0.161676194151171,0,0,0,0,0.168143742555824,0.257015210910917,0.166571402361231,0.297873359379947,0.00107184940353493,0,0.00616558703884747,0.0289026588361544,0,0.00556112059765481,1.55930771963675,"THO"
"35","SL242368",0,0.00160838825539389,0.0280513263463932,0,0.0835807870628571,0,0.00231070549377411,0,0.00162716387456627,0,0.0368133046081089,0,0.0155970882323641,0.205483897096959,0.00160829752877021,0,0,0.00899339387790375,0,0,0.38567435237709,"SAR"
"36","SL242376",0,0.00479798343001344,0,3e-04,0.0508859753114062,0,0,0.0120734260303496,0,0.0283677011719184,0,0.148252109569263,0,0.0639760186131379,0,0.0204865840910614,0,0.0958978202442912,0,0.00218100459945338,0.427218623060895,"GI"
"37","SL242377",0.0516351104339109,0,0.05716899129442,0,0.038529858904338,0.0159610283939885,0.050791042461907,0,0,0,0.0771294657693842,0.288820058417298,0.0230539988795385,0.102421611429876,0,0,0,0.0586739422620392,0,0,0.764185108246701,"THO"
"38","SL242378",0.0143108443615688,0,0.0331894390444347,0,0.180970339744148,0,0,0,0,0.0260676508808657,0,0.16919767097131,2e-04,0.197883627156471,0.0151325907999854,0.0587455371820441,0,0.0659364233117532,6e-04,0.0391794252228916,0.801413548675473,"THO"
"39","SL242379",0.0176950042293818,0,0.0513462689966099,0,0,0,0.0113268582828871,0,0,0,0.014610752833237,0.0898281376176982,0,0.0306247857042077,0,0,0.00435420940202326,0,0,0,0.219786017066045,"SAR"
"40","SL242380",0.0270478330666802,0,0,0,0.0225247199450703,0,0.00146950946747548,0,0,0,0.0123826991199496,0.0848747095791554,0.00787895408533175,0.12285448902396,0,0,0,0.0199847559451811,0,0,0.299017670232804,"SAR"
"41","SL242385",0,0,0.187909998438493,0,0.0931734437640751,0,0,0,0,0,0.119589401453246,0,0.0204500410156393,0.136956034626748,0,0.018227181381076,0,0.0261830341721829,0,0,0.602489134851461,"RCC"
"42","SL242386",0.00342654895303614,0,0,0.0243269108439226,0.0462351468552685,0,0.00830021725435217,0,0,0,0.0421507484790308,0.104989216923938,0.00226570612361127,0.0521730394369935,0.0111900153782899,0,0,0.0639307238283084,0.00409725609348733,0,0.363085530170238,"THO"
"43","SL242387",0.0195755778956119,0,0.105260446382301,0,0.0942329210039905,0,0.0680987638195887,0,0,0,0.172421368623043,0.19475680278786,0.0405711848795787,0.385348131913808,0.0120066964409037,0,0,0.115793314629201,0,0,1.20806520837589,"THO"
"44","SL242388",0.060161038332395,0,0.156015745526749,0,0.102281099041183,0.0463056915201441,0.0728446809985085,0,0,0,0.0984912350625293,0.129675453890887,0.0802634231763901,0.242545652305204,0.0738518982136018,0.00370020910853347,0,0.0790048923258727,0,0,1.145141019502,"THO"
"45","SL242389",0.00328417574825264,0,0.116523032757032,0,0.144244274921689,0.0799110407480333,0.0253031006883372,0,0,0,0.113275420055018,0.0964580083245396,0.0344507157501699,0.128914435488489,0.0148470654883145,0.00891418655742814,0,0.141859550055645,0,0,0.907985006582948,"THO"
"46","SL242390",0.00284193311791606,0,0,0,0.0977730903748919,0,0.0156917128943242,0.00443979565624424,0,0,0.0491393356029819,0.0407912026203614,0.00862436612096511,0.146435121594856,9e-04,0,0,0.0293106140961979,0,0,0.395947172078739,"SAR"
"47","SL242391",0.0154581824457544,0,0.0799647143163495,0,0.0502639284007158,0,0.00378022301699479,0,0,0,0.0414697702452461,0.0939115303091998,0.0462082712814265,0.166176029699927,0,0,0,0.0614487163781182,0,0,0.558681366093733,"THO"
"48","SL242392",0.0146189089745429,0,0.0277266518936736,0,0.0289323384399056,0,0.0150790351402207,0,0,0,0.00837291363217125,0.0661890833177289,0.0180853818802694,0.0711138826164808,0,0,0,0.0275147547511366,0,0,0.27763295064613,"SAR"
"49","SL242403",0.00143097251715362,0,0.0178998237881551,0,0.0511013707328049,0,0.00342820572605933,0,0,0,0.0125971951654613,0.0473132731357172,0,0.101233200920321,0,0.00733845675297936,0,0.133651767647004,0,0.00506561275443789,0.381059879140093,"RCC"
"50","SL242404",0.024781448508789,0,0.0109350072680969,0,0.0306990269666547,0,0.00582082613723727,0,0,0,0.016825395222429,0,0,0.0130727729988091,0,0,0.0517497203502129,0,0,0,0.153884197452229,"THO"
"51","SL242405",0,0,0.00782460431722784,0.0521721471511514,0,0,0.0251236238274448,0,0,0,0.0139782102351767,0,0.00971416001949758,0.0476634671512662,0,3e-04,0,0.00895498339465063,1e-04,0,0.165831196096415,"SAR"
"52","SL242406",0.0046402194044488,0,0,0,0.0408428482489395,0,0.00253205664013108,0,0,0,0.028677315306399,0.0355567463754159,0.0121650822028545,0.257181566649756,0,0.0382090152982476,0,0.127441329401874,0,0.0157037335260403,0.562949913054106,"SAR"
"53","SL242407",0,0,0.0295848931214979,0,0.0681929040823151,0.00934036668453356,0,0,0,0.0341170262892244,0,0.0701492102145359,0,0.159555835806072,0,0.00187241007564161,0.034213779443109,0,0,0.00869297667436003,0.415719402391289,"SAR"
"54","SL242408",0,0.583141123858457,0.114296124249818,0.176248101253504,0.340046133650869,0.136262157461776,0.0196748964460464,0,0,0,0.0377907660006597,0.145520968730002,0.0423297196152721,0.216104689627341,0,0.0500796035768085,0,0.168854930058816,0.111265065531962,0.039767366567551,2.18138164662888,"THO"
"55","SL242417",0.00253760339543563,0,0.0364274585029646,0,0,0,0.0233719605313374,0,0.0242777397767184,0,0.0298088408855415,0.151861166936873,0.00792502719538866,0.384709680613892,0,0.0114541012535471,0,0.0281622297133443,0.0116846845213817,0,0.712220493326424,"SAR"
"56","SL242418",0.059877870019359,0,0.090608553599253,0,0.208716198915855,0,0,0,0,0.0169894385843212,0.00300087086802391,0.174657426653167,0.0290297336987091,0.271837799562442,0,0,0,0.0941679989605188,0,0,0.948885890861649,"SAR"
"57","SL242419",0.00118431385054985,0,0.00101026331494944,0,0.0136531898785937,0,6e-04,0,0.00477474772084984,0,0.0124229303728709,0.53183122829683,0.00762923479934897,0.371519555041822,0,0,0.0159198427668949,0.0125998027674153,0,0,0.973145108810125,"SAR"
"58","SL242430",0.00153886064694373,0,0.0228377687364171,0,0.0496142324698834,0.00750779234102336,0.00448229964412463,0,0,0,0,0.135346354236386,0.00728646984148736,0.247266154278468,4e-04,0,0,0.0462993697628844,8e-04,0.00834748001364393,0.531726781971261,"SAR"
"59","SL242435",0.0196785501238796,0,0.0307943223838765,0,0.0877208733723212,0,0,0,0,0,0.0174112394085734,0.0022689386449864,0,0.0364471483322857,0,0,0.00269313331778054,0,0,0,0.197014205583703,"GI"
"60","SL242436",0.0334928547198116,0,0.188768074479612,0,0.17452058332931,0.108394169317989,0,0,0,0,0.0626051209289166,0.0876933958865397,0.0378728713836693,0.167389583070909,0.0104442237088008,0,0,0.0771549579991834,0,0,0.94833583482474,"GI"
"61","SL242441",0.0304087879593189,0,0.029404759183449,0,0.0375625829005966,0,0,0,0,0,0.0288074588359804,0,0.0315414767132149,0.480558858877303,0,0,4e-04,0.00694312171527737,0,0.00357026439738638,0.649197310582527,"SAR"
"62","SL242442",0.0248424551652243,0,0.0344964863806233,0,0.0010555401516931,0,0.0231589225022554,0,0,0,0.0119052784468652,0.0187595473292243,0,0.169171928267068,0,0.00890333591490182,0,0.00440687826613903,0,0,0.296700372423994,"SAR"
"63","SL242443",0.0171862581286937,0,0.0978115687032402,0,0.132851830081292,0,0.0396643745466597,0,0.0522695091755161,0,0.0813465343961578,0.0309043970604638,0.0920578548096914,0.497352683048355,0,0.0790859588362469,0.0134464289468857,0.0515113595109464,0,0,1.18548875724415,"SAR"
"64","SL242444",0.00298474774462048,0,0.0225056996905291,0,0.0540729498154178,0,0.0121333748250962,0,0.00545286244404361,0,0.0250856263624859,0,0.00733785233481669,0.299998253474535,0,0.00160180703908761,0,0.0245599294343993,0,0.0259120426473005,0.481645145812332,"SAR"
"65","SL242445",0.0237863181339991,0.00635628568158429,0.175843186638409,0,0.278878523148638,0.0861389588410996,0.0466602093283651,0,0,0,0.0160336496738095,0.248311704858684,0.111277100412229,0.474987465465289,0.0204133763994594,0,0,0.0858767997521103,0,0.0385573125493728,1.61312089088305,"THO"
"66","SL242454",0.031678816145325,0,0,0,0.0373659440734827,0,0.00681993160572673,0,0,0,0.0268928544754285,0.0736119363133484,0.00229407596603462,0.173478291557034,0,0,0,0.0868668917307429,0,0.00277311497752239,0.441781856844645,"SAR"
"67","SL242455",0.0251434950451924,0.0273781885860864,0.0546224038888178,0.00444419438040672,0.17518272349941,0.00617815370518655,0,0,0,0.016549228518126,0,0.340240993319128,0.0224341782995932,0.213309197895974,0.0076943308083316,0,0,0.0634500425839792,0,0,0.956627130530231,"THO"
"68","SL242460",0.00812791167959149,0,0,0.019607004276852,0.0638080129346709,0,0,0.00818276373564747,0,0.0145734842556116,0.00223521525742049,0.244228345378511,0.00474517264682115,0.0792165502905218,0,0,0,0.0372866263388789,0.00545575468487674,0,0.487466841479404,"GI"
"69","SL242461",0.0110533830464424,0,0.0341274825532894,0,0.0959084244898812,0.0529221607877508,0,0,0,0,0.0258314956014506,0.176800189074493,0.0254849840444744,0.10547582990568,0.00132277738762016,0,0,0.0342453661519692,0,0,0.56317209304305,"GI"
"70","SL242466",0.0197153422424945,0,0,0,0.01933762403596,0,0,0,0,0,0.0122586311572266,0,0.00159855995398422,0.101770059357508,0,0,0.0535413529932547,0,0,0,0.208221569740428,"SAR"
"71","SL242467",0,0.00170308781237434,0,0.0112973630548777,0.0464071490999493,0,0.00341453091854036,0.00433633677827198,0,0.0106839309203208,0,0.148158134342793,0.00174047443075742,0.146358616186182,0.00103083014021446,0,0.00157591692785592,0.00489947474654747,6e-04,0,0.382205845358685,"SAR"
"72","SL242468",0,0,0.260983185112848,0,0,0,0.0381581950357722,0,0.087619844865509,0,0.123707969582301,0,0.190703597635122,0.384601013963853,0,0,0,0.00423139678598597,0,0.00246904939759679,1.09247425237899,"SAR"
"73","SL242471",0,0.00288484119838039,0.0238520292981066,0,0.0679174994792466,0,4e-04,0,0,0.00718434603526557,0.00568973082932195,0.0208788430666977,0,0.0901328936892977,0,2e-04,0.0181759555759795,0,0,0,0.237316139172296,"SAR"
"74","SL242478",0.0107543552859118,0,0.0595306488313327,0,0.25925394704111,0.0210811143806365,0,0,0,0,0.0193044332481606,0.0606371269144266,0.021299090261247,0.17571921164899,0.0284231919118938,0,0,0.0368275727540008,0,0.00437310358403355,0.697203795861743,"GI"
"75","SL242482",0.00514179400930775,0,0.012646600675842,0,0.0230770485830907,0.0513240341286134,4e-04,0,5e-04,0,0.0073367520656882,0.116018524332911,0.00891240701246399,0.0735698750369303,0,0,0,0.0495730137157417,0.00553146221542796,0,0.354031511776017,"GI"
"76","SL242485",0.0263951308608169,0,0.0184895750220184,0,0.0515583014724589,0.0429207716215874,0,0,0,0.00533100554274625,0.00425470303997129,0.072189892703843,0.00983381740775482,0.0422129746661509,0.0270853941376675,0,0,0.0923029244294695,0.00864418867913407,0,0.401218679583619,"GI"
"77","SL242486",0.00296156076836882,0,0.0175777746688321,0,0.0227261857380594,0,0,0,0,0,0.00998571861217999,0.0191744590638474,0.00750246453877437,0.0418133959097181,0.00469367334009545,0,0,0.123963952977068,0,0,0.250399185616943,"GI"
"78","SL242490",0.0194468483467564,0,0,0,0.00646790698673483,0,0,0.00245311044038101,0,0,0.00575069954831941,0.00779502859639555,0,0.02766808277751,0,0,0,0.0047800578129518,0,0,0.074361734509049,"SAR"
"79","SL242492",0,0,0,0,0.0366575494737425,0,0,0,0.0174706349591158,0,0.0180928006647376,0.00383868675315621,1e-04,0.0867651245822181,0,0.0103875907009369,0,0.0087496260006414,0,0,0.182062013134549,"SAR"
"80","SL242494",0.00934878694540428,0,0,0,0.0235805103108256,0,0,0,0,0,0.0129823004719653,0,0,0.0398128315631031,0,0,0.0346608576034195,0.00192540735406226,0,0,0.12231069424878,"THO"
"81","SL243549",0.0170568895477014,0,0.0928895945644037,0,0.0518250019177303,0,0.0559718609754034,0,0,0,0.0886356910119927,0.189997175501407,0.103113109444455,0.326637017262333,0.118593346853325,0,0,0.153114895563571,0.0204249673535938,0,1.21825954999592,"GI"
"82","SL243550",0,0.00706974373751496,0,0.00542750411226565,0.0553656791147149,0,7e-04,0,0,0,0.0219494560971832,0.180834193753508,1e-04,0.151257284359019,0.0918451842047799,0.015376130425951,0.0088797901600646,0.0940834714596361,0,0.00527630906643109,0.638164746491069,"THO"
"83","SL243551",0.028062895163683,0,0.139588673664662,0.0383555705877356,0.212458752492013,0,0,0,0,0.00332564665558246,0.0346315746801978,0.124427861860121,0.0012425522641413,0.491238677261936,0,0,0,0.150867208941028,0.00229820779476651,0.0271762902383396,1.25367391160421,"GI"
"84","SL243553",0.00885217167840481,0,0.0379115917776733,0,0.100528066780664,0.0295453875530573,2e-04,7e-04,0,0.0367324750015513,0,0.0653220934256027,0.00730497642241286,0.106416006280444,0,0,0,0.102794091598633,0.0147879064414525,0,0.511094766959896,"GI"
"85","SL243558",0,0,0.0944119106193447,0,0.171875099050288,0.0722583232983496,0.00438289691627374,0,0,0,0.00416143650638481,0.435185933418995,0.062053739627563,0.274384257214061,0.00712347039751202,0,0,0.0500258893735575,0,0.00492702223000727,1.18078997865234,"THO"
"86","SL243561",0.0455494762313543,0,0.0798608675734347,0,0.129656312747109,0.0445140252161917,0.00551929738040341,0,0,0.0117707065321591,0.0184772497803452,0.156698292826562,0.00884907892085986,0.0605911811970333,0,0.00664700603752652,0,0.187692706873701,0.0569453193248089,0.0128584064448398,0.825629927086329,"GI"
"87","SL243563",0,3e-04,0,6e-04,0.0361028183944576,0,0.00994519501523786,0.00194851153904105,0,0.011765291411609,0.00591661413713903,0.0459602197573262,0,0.180024635464838,0,0,0,0.0309875731394304,0.00360721907355338,0,0.327158077932633,"THO"
"88","SL243564",0.0376730977581701,0,0.00335388933379082,0.00588099713608062,0,0,0.00551728024979361,0.00982337369212572,0,0,0.00844282847754197,0.0802358500936359,0,0.0416630081031564,0,0,0,0.0288088545336159,0,0.00833012832738218,0.229729307705293,"THO"
"89","SL243565",0.0234309005351633,0,0,0.00381746049747714,0.0169584034368951,0.0531647984072398,0,0,0,0.00868389565341945,0.0316763715304719,0,0,0.00628478402080455,0.00128765190430442,0,0,0.0384096277839154,0.00484982909623553,0.0291255405185715,0.217689263384498,"GI"
"90","SL243567",0.00140689897943614,0,0.109008289346879,0,0.02013702218886,0,0,0,0,0,0.0372497600923657,0,0.045912584870204,0.260242578256546,0.00867368635983696,0,0.0190608228993872,0.0379785674764085,0,0,0.539670210469924,"SAR"
"91","SL243568",0.0301923116111093,0.0942026210522555,0.163814754295595,0,0.336467309788011,0.0118804918427411,0.0150768136184672,0,0,0,0.0868268586217101,0.133871428871694,0.182901339099964,0.684888151093765,0,0,0,0.212266858117311,0,0,1.95238893801262,"SAR"
"92","SL243570",0.0316080030832316,0,0.0350436775266983,0,0.0389072410862998,0,0.00223929835989604,0,0,0,0.0654144615283682,0.0443859636910842,0.0167021179359821,0.129721620976348,0,0,0.0468332435574612,0.0451008812644154,0,0,0.455956509009785,"SAR"
"93","SL243572",0,0.0100298311956491,0.032791520606678,0.00317008683920963,0.257899148368919,0.021600875250229,0,0,0,0.0395404195578718,0.00788567123798789,0.204992169020297,0,0.243451821694265,0.0396400878436326,0.0686043193243309,0,0.12507076085714,0,0,1.05467671179621,"THO"
"94","SL243573",0,0.00837086842674986,0.0311212740362599,0,0.0424864964833544,0,0.00277005609541941,0,0,0,0.0194269781714905,0.0515558673800018,0.00148258611134944,0.244299484137881,0,0.0077035327038859,0,0.0683170589761696,0,0.0320621900385991,0.509596392561161,"SAR"
"95","SL243574",0.00561382849015396,0,0.0258128630213469,0,0.0435708739793564,0.0472651115918349,0.00255593857549705,0,0,0,0.0244738846768607,0.131925167210355,0.0103546448642513,0.131726105266935,0,0,0,0.16694704634733,0.00478403948475944,0.00477622628763294,0.599805729796314,"GI"
"96","SL243575",0.0052896370890366,0,0.0314237567011742,0,0.0280174342737421,0,0.00257584607472167,0,0,0,0.0125768392270339,0,0.00790013715615915,0.0732860728927789,0.00906661161751796,0,0.0400488902203644,0.00337290741875855,0,0,0.213558132671287,"SAR"
"97","SL243578",0.0227729338365718,0,0.069714679240489,0,0.156513210092317,0.0839908940540304,0.00614065989296669,0,0,0.00676289199599272,0.0395722109461482,0.188177316300964,0.0252014504308114,0.095834031027152,0,0.0104380333586486,0,0.109998762462574,0,0,0.815117073638666,"GI"
"98","SL243579",0,0,0.0484919884173829,0,0.181048620870142,0,0,0,0,0.00430288802541116,0.0154536422541515,0,0.0184191580968087,0.241018349648598,0,0,0.0438145207591409,0.0177300176187532,0,0.00252779043827798,0.572806976128666,"THO"
"99","SL243580",0.0220106047330089,0,0.111264401836719,0,0.371063296386859,0.0149774850600285,0.0196083045755783,0,0,0.00628994116989913,0.0274635130530439,0.255992774711889,0.0286292689390234,0.380196990686621,0.0330210548319439,0.0257448284799276,0,0.0899831370303275,0,0.00206723381384025,1.38831283530871,"THO"
"100","SL243581",0.026093775622016,0,0.152118240103553,0,0.256076014349536,0.106142555105003,0.0241696494840056,0,0,0,0.0555918336928219,0.287287922569698,0.105039206537629,0.276276275771006,0.0175831958564899,0,0,0.197141863398127,0,0,1.50352053248989,"THO"
"101","SL243586",0.0608945405898406,0,0.0756648856620397,0,0.186900065145164,0.037350226628556,0,0,0.0285067473027647,0,0.0426016532251067,0.234127490506478,0.0147290109118408,0.157790399116344,0.0094913950787567,0,0,0.135883298918985,0,0,0.983939713085876,"GI"
"102","SL243587",0.0585216352131782,0,0.113841494539914,0,0.162079007400565,0.00925190452132687,0.0315950203448386,0,0,0,0.0714943430710055,0.103980015951402,0.0419629766565074,0.241280935720815,0.0125892362650837,0,0,0.126503970023824,0,0,0.97310053970846,"THO"
"103","SL243588",0,0.00526024089741102,0.0172972798875447,0,0.10361982227578,0,0.0204968145820708,0,0,0,0.040261049694002,0.0566421516160446,0.01183119117392,0.394907138175448,0.00258998002985852,0.0147652972325286,0,0.0601157278617887,0,0.0350693603738848,0.762856053800282,"THO"
"104","SL243589",0.0598747676519157,0,0.229344334489579,0,0.281843929250723,0.0230262823400643,0.0836898922026675,0,0,0,0.0987634316519153,0.12940106620227,0.0550444149596494,0.394731293835262,0.0582910991476676,0,0,0.103214600599512,2e-04,0.011244686798834,1.52866979913006,"GI"
