"node","closeness"
"OR52B4",15254971.7287684
"RBM26-AS1",15253449.3386053
"NCOR2",15250948.1067674
"NEUROG1",15250585.6199127
"CD93",15250582.9927888
"RXFP3",15250220.3776038
"WDR88",15245569.1934817
"GNPDA2",15244227.6483762
"TPRN",15242142.310504
"CLINT1",15241389.4079272
"KCNS1",15239699.8355359
"GCOM1",15236552.7306328
"CATSPERD",15236534.2056437
"FRMD8P1",15234516.2152758
"DRD3",15233118.7499351
"s__Bacillus sp. S3",15232711.5819926
"HTR1E",15232275.4124045
"KCNMB3",15224124.8725521
"SSH3",15220297.306685
"PKN3",15219484.8630655
"GPR26",15218451.1786873
"MAPKBP1",15218323.85089
"LOC644669",15215697.8187974
"LHX3",15212180.439236
"IL17REL",15209817.2130201
"TRIM5",15205947.9143077
"TDGF1P3",15204422.0458935
"MRGPRX2",15203287.2031881
"SDC3",15199896.3319063
"LINC00324",15195720.7164171
"ANKRD63",15187886.3685918
"DKFZP434H168",15183900.0753256
"LOC257396",15183670.9264494
"UBE2NL",15181944.5809673
"g__Oleiharenicola",15179778.3315898
"s__Oleiharenicola sp. KSB-15",15179778.3315898
"CHEK2",15178565.1247231
"FAM66E",15178144.9850676
"TCIRG1",15177917.0747794
"SPEM1",15170899.8712949
"RBMY1A1",15169803.043057
"f__Haliscomenobacteraceae",15167499.7830122
"g__Haliscomenobacter",15167499.7830122
"s__Haliscomenobacter hydrossis",15167499.7830122
"WDFY3-AS2",15167358.0751387
"TMEM187",15165755.9765381
"HAPLN4",15163424.831712
"SLC26A6",15156011.1967506
"KBTBD11",15154396.1058311
"GPR119",15150777.6786782
"SNORD67",15149433.5305619
"CT62",15148844.8925776
"HIPK4",15144740.3874297
"s__Pseudomonas sp. RW9S1A",15143381.5081466
"WNT8B",15143136.7885791
"s__Porphyromonas sp. oral taxon 275",15138827.2808804
"HRK",15137892.7058579
"DNMT3L",15134493.2265005
"MAGIX",15132957.6040131
"SCGB1C1",15132274.7513055
"PPAN",15131653.6472489
"ECT2",15128376.5047497
"SPATA8",15126918.3031086
"TRIP6",15125040.64681
"LOC441601",15122686.7521598
"C20orf194",15119740.2248095
"s__Candidatus Planktophila versatilis",15116201.1927267
"c__Fimbriimonadia",15115047.3818495
"o__Fimbriimonadales",15115047.3818495
"f__Fimbriimonadaceae",15115047.3818495
"g__Fimbriimonas",15115047.3818495
"s__Fimbriimonas ginsengisoli",15115047.3818495
"GOLGA8A",15114052.9047785
"SNX15",15113740.5590067
"FOXR1",15113071.6454653
"s__Stenotrophomonas sp. WZN-1",15111182.9223117
"BRCA1",15108978.0258171
"LOC442028",15107800.5297769
"PATE3",15107409.0627002
"HSD11B1L",15106243.0326508
"CALHM1",15104678.7779513
"PGAP1",15104025.9196297
"SAMD7",15099725.3302084
"NUDT16P1",15098512.2387491
"OPRK1",15096604.541168
"TCF24",15095484.7123559
"DCAF8L1",15092725.1034556
"KRT25",15092336.9078833
"JOSD2",15091624.7134786
"LTBP3",15091031.9042086
"DCBLD1",15088377.3494504
"C10orf95",15085941.2301805
"MGC12916",15084951.6846243
"s__Nonomuraea nitratireducens",15082975.1675329
"RAB41",15080823.1254441
"ATP1B4",15079280.3768916
"FAM138C",15076139.1726535
"CLDN19",15075910.8236213
"CCR9",15073887.6146066
"C15orf56",15073822.3024289
"FBXL6",15072116.2366777
"GAS2L1",15068287.919652
"RAB40C",15065105.9602277
"KRT71",15064488.5735323
"OPN4",15062752.674649
"TRPC7",15060642.9539188
"NEK1",15059834.4945473
"CSNK1A1L",15057266.6487787
"LOC643201",15053294.3586993
"DST",15051489.3378351
"LOC100505715",15051450.2201646
"g__Neospora",15051068.8846728
"s__Neospora caninum",15051068.8846728
"SLC37A4",15046954.8008127
"ZNF512B",15044797.4058169
"ABCG4",15044225.4312965
"TMED1",15042618.3452346
"SAG",15038199.9882437
"ZDHHC1",15037973.9541168
"LOC100288748",15037077.3155154
"g__Rufibacter",15028569.247066
"s__Rufibacter tibetensis",15028569.247066
"NOX3",15025396.9172965
"s__Pseudomonas sp. BJP69",15023450.4164853
"TMEM215",15021941.932497
"PRAMEF13",15020684.657307
"ST20",15019004.4857967
"CDCP2",15013763.6104473
"FSCN3",15013608.4681304
"KTN1-AS1",15006264.866649
"TADA3",15005464.0939028
"RAET1K",15004266.5521876
"IDUA",15003743.1760676
"TECRL",15003686.1037973
"s__Bacteroides coprosuis",15003335.1584634
"LINC00271",15000543.4808902
"C8orf58",15000403.0691139
"ZNF675",14998443.7934492
"ANKRD18DP",14998164.2978547
"s__Clostridium estertheticum",14994720.5675118
"RDH8",14991077.4442676
"ZSCAN16",14990875.1319416
"AHCYL2",14987310.3296359
"MIP",14986636.7811811
"CCDC168",14986100.2931733
"LOC100130691",14983655.8872379
"AIPL1",14981994.0370444
"ZBTB46",14979480.4463506
"LPP-AS2",14977536.8759459
"SLC22A5",14974183.5664008
"PART1",14972171.6664724
"WNT8A",14971884.3303813
"C1orf122",14970664.4339235
"CDY2B",14965208.7911278
"SYNDIG1L",14964332.9342243
"C7orf33",14963304.7955373
"DBX2",14961677.3379197
"NANP",14961040.4992036
"LINC00520",14959938.0942569
"TRPM4",14957824.9437523
"SERTAD3",14957670.5520794
"GNAT1",14956920.561274
"PTPRVP",14955866.7732024
"s__Lachnoclostridium phocaeense",14953461.2384125
"ZSCAN10",14948172.5433414
"ZP4",14942365.1038928
"c__Dothideomycetes",14941501.8783084
"o__Mycosphaerellales",14941501.8783084
"f__Mycosphaerellaceae",14941501.8783084
"g__Cercospora",14941501.8783084
"s__Cercospora beticola",14941501.8783084
"S100A7A",14940893.45215
"FBXO47",14940359.1272671
"RTP1",14936808.9763226
"PLCL2",14935809.4794321
"s__Methylorubrum extorquens",14935042.2782559
"NKAPP1",14933708.9604196
"RS1",14931044.0173715
"OR2C3",14930259.4442461
"SCN10A",14927614.7609717
"TUBB2B",14927213.3624534
"ZNF414",14926985.3509082
"BEND2",14926950.4938473
"FES",14923498.151922
"s__Bacteroides ovatus",14922895.0933657
"SLC12A3",14920791.5652057
"LOC100128164",14920275.52246
"ZDHHC23",14917860.5948238
"FEZF2",14915277.2260312
"s__Treponema denticola",14915055.4208318
"RBM43",14912323.0372843
"PRDM13",14907494.0457007
"SDF2",14904686.8715312
"MIR137HG",14902762.860885
"AWAT2",14902419.4325582
"CCDC166",14900736.7256511
"CENPP",14899309.5856005
"DEC1",14896037.6915178
"DHODH",14893107.9306613
"ZNF283",14892969.6401516
"GLP1R",14891558.9049836
"GABRR3",14889339.4541196
"s__Pseudomonas sp. RtIB026",14888462.6612239
"SCRN2",14886983.1561713
"PML",14886835.5717125
"USP29",14886709.8075883
"C3orf80",14881247.206399
"COX19",14880662.7040409
"DUSP18",14877623.8697925
"PRKACG",14877551.7254131
"EVL",14877379.2944761
"s__Dechloromonas sp. TW-R-39-2",14876638.0020979
"LOC286059",14876216.5195412
"g__Dolosigranulum",14875293.9802373
"s__Dolosigranulum pigrum",14875293.9802373
"RGS9BP",14874404.9311649
"SCARB1",14872357.3352858
"OR2W5",14870099.9181258
"BPIFC",14869110.5203856
"MGC16275",14868074.0603075
"PLEKHJ1",14865989.35553
"f__Paludibacteraceae",14862709.5447822
"g__Paludibacter",14862709.5447822
"s__Paludibacter propionicigenes",14862709.5447822
"SNORA5C",14859101.3104795
"LOC730668",14856436.5791304
"CLTCL1",14853962.5988569
"TREML4",14852326.4066748
"s__Pyricularia oryzae",14851613.8953987
"C5orf64",14850639.1599791
"RHBDF1",14844020.8505137
"C10orf25",14843950.4369505
"MORC1",14843843.6972994
"REEP4",14839340.2530824
"OSBPL7",14838697.374257
"ZBTB9",14837779.9592788
"PTPRB",14836653.5136949
"LOC153684",14835026.7220365
"CCDC106",14833561.1137152
"ADAM3A",14831856.7236942
"PAPOLB",14827881.3881301
"ZEB1-AS1",14827577.3231653
"LOC283299",14825655.4710335
"ENTPD3-AS1",14824716.9285965
"DGKK",14824609.5358482
"DNTT",14821975.7413281
"PDYN",14821957.5527429
"NUDT16L1",14821700.4590352
"PATE4",14821005.5841043
"s__Mus musculus mobilized endogenous polytropic provirus",14819659.7819737
"TMED7-TICAM2",14819259.3694522
"KLLN",14819252.0355134
"TMEM164",14819164.495811
"SMARCD3",14816938.4480403
"IRGC",14816010.3600651
"TMEM196",14815725.3874253
"GSX2",14815405.230379
"SSTR4",14813591.977687
"BTN1A1",14813090.2844506
"s__Campylobacter gracilis",14812883.347924
"SYCP1",14812145.1995083
"CREG2",14807260.5256969
"FBXL2",14803930.9472728
"ZNF563",14803914.2010677
"OR6K6",14802827.3078783
"g__Collimonas",14802279.7867558
"s__Collimonas arenae",14802279.7867558
"LOC284395",14801585.7448704
"NRL",14801193.5706581
"TBC1D28",14799649.8679755
"ZNF696",14798835.2267358
"PTGDR2",14798493.416909
"s__Streptomyces liangshanensis",14797739.013389
"MYF5",14797194.182041
"C21orf91",14796787.8248302
"RNASE13",14795093.5464384
"KRTAP2-2",14794840.0536633
"f__unclassified-g__Sphaerotilus",14793411.2071388
"g__Sphaerotilus",14793411.2071388
"s__Sphaerotilus natans",14793411.2071388
"MRGPRE",14793315.5496801
"s__Corynebacterium macginleyi",14792695.1384162
"ZNF488",14791354.9503751
"NHLH1",14789015.5077579
"GALR1",14787286.5236301
"NPY2R",14787171.3214871
"FLJ33534",14785107.0095248
"ZNF736",14784113.9244406
"f__Steroidobacteraceae",14782878.8255591
"g__Steroidobacter",14782878.8255591
"s__Steroidobacter denitrificans",14782878.8255591
"SLC32A1",14781594.5982364
"CLCN2",14780179.7647115
"KLHL34",14779917.3030914
"s__Paenarthrobacter sp. YJN-D",14776474.7384963
"PTX4",14775576.3249423
"NCKAP5L",14767039.1174286
"TARM1",14766785.0699951
"TEX13A",14766393.744434
"ARHGEF26-AS1",14764409.3078744
"HTR6",14763652.9455337
"PHKG2",14762981.623646
"C18orf63",14762677.4749045
"SH3BP5",14762467.4521391
"TBR1",14762457.307062
"TGM7",14758712.8549897
"CCDC24",14757768.009515
"PRKAB2",14756166.1650497
"s__Sphingomonas sp. MK52",14755831.0894396
"s__Campylobacter rectus",14755643.9390101
"f__unclassified-g__Leptothrix",14753280.4544146
"g__Leptothrix",14753280.4544146
"s__Leptothrix cholodnii",14753280.4544146
"LINC00426",14751486.5538663
"METAP1D",14747044.8793496
"TMEM143",14746378.2558281
"OR2H1",14744237.0259949
"ATOH7",14743879.5729093
"AADACL4",14743297.2543295
"s__Burkholderia cenocepacia",14742732.2361639
"CPNE9",14741108.9075249
"CASC2",14738115.6802121
"MED30",14736687.9231064
"g__Cyanobium",14735904.0268246
"s__Cyanobium sp. NIES-981",14735904.0268246
"TEX19",14735318.3808586
"CBX3P2",14730527.3966284
"ZNF784",14730079.0367498
"CNPY1",14729882.9668438
"RNF217",14728186.7575911
"CHN1",14727358.8199067
"HCRTR2",14726968.220963
"RBMS1",14726882.0794609
"TMEM221",14725361.4404454
"RHAG",14724729.5011279
"SGPP1",14718974.7128321
"C10orf67",14718741.2392593
"DUXA",14718660.3307837
"NMBR",14718356.3558757
"SLC25A4",14718288.1668559
"TRIM42",14715725.764311
"GRM6",14713332.6319746
"NR6A1",14712908.2283451
"CFC1B",14711775.3743071
"s__Streptococcus gordonii",14711740.0595831
"s__Porphyromonas cangingivalis",14706669.7066463
"FMR1-AS1",14706142.9086429
"SIRT6",14702551.8832754
"NAT8L",14702485.346591
"SPPL2C",14700230.3910454
"IQCJ",14698731.2834979
"PHKA1",14698665.1090031
"s__Streptococcus australis",14697232.5058079
"NOBOX",14695177.3616899
"MAGEB10",14693924.5825716
"C9orf163",14690128.4186126
"SLC30A4",14688282.8607463
"LOC93622",14684937.106086
"PKD1",14684205.2178879
"ZNF843",14683194.019413
"KCNG4",14682735.055361
"MBOAT1",14679768.2052494
"TRPC5",14679193.8194777
"FCGRT",14679004.78813
"STARD13",14677758.3328128
"s__Elizabethkingia sp. JS20170427COW",14677563.3953886
"s__Comamonas sp. Y33R10-2",14675503.4364289
"s__Bifidobacterium longum",14675267.6809636
"GUSBP5",14674354.3054843
"PPP1R3D",14673531.9568696
"ZPLD1",14671914.0229998
"SLC25A5-AS1",14669854.1034985
"WNT1",14668008.126909
"TCF7L1",14667328.4345672
"SBF1P1",14665582.2825145
"s__Lactococcus raffinolactis",14664594.2923225
"COL6A4P1",14662448.1117398
"s__Diaphorobacter sp. HDW4A",14661516.2878345
"ADAM7",14661274.9363893
"PRR18",14660089.3360569
"RBMY2FP",14659732.3001915
"NFKBIL1",14659438.5500522
"PATE1",14659061.6014158
"g__Caldibacillus",14656185.6097901
"s__Caldibacillus thermoamylovorans",14656185.6097901
"WBP11P1",14655903.7479092
"CYP4F35P",14655721.8891896
"POU4F2",14655214.0597719
"GJD4",14654368.5141165
"s__Corynebacterium striatum",14653512.0906144
"TMCO5A",14651408.6681561
"NXPH2",14650136.5428573
"INSM2",14649511.4752201
"s__Mannheimia sp. USDA-ARS-USMARC-1261",14648376.6831175
"OTUD6A",14647005.8760557
"RCCD1",14646875.2193667
"RSPH6A",14644861.8393266
"HIGD2B",14643181.2554815
"s__Staphylococcus virus Andhra",14643040.9418618
"OTOR",14641854.0853987
"ZCCHC24",14641408.3092468
"TRIM47",14637901.4250909
"GSG1L",14635895.1692625
"TRIM66",14635831.252523
"g__Dermacoccus",14635316.463809
"s__Dermacoccus nishinomiyaensis",14635316.463809
"SLC22A8",14633788.9148786
"PRR20E",14632944.7702657
"NUMBL",14631916.9928491
"C10orf105",14627710.1681794
"OR52J3",14626295.1371905
"RFXAP",14625767.0259148
"DSCR10",14625475.3033724
"PIRT",14624770.0448913
"LINC00305",14623863.6612484
"OR2AK2",14623645.3558166
"s__Arachidicoccus sp. B3-10",14619777.4618164
"g__Petrimonas",14619241.5281589
"s__Petrimonas mucosa",14619241.5281589
"NLRP5",14617893.042009
"TSSK1B",14616843.7891161
"RHOJ",14614882.6519488
"ASB10",14612862.5221918
"LRRC29",14612741.1493549
"CCDC86",14611985.720124
"FAM187B",14609684.5882937
"SLC15A5",14606833.7592613
"AGPAT5",14606552.1799931
"RBM44",14606014.2648678
"ATP6V1E2",14605597.2996368
"FSCB",14605428.9392335
"GPR101",14604980.0407517
"AHDC1",14604467.3762015
"OR51E1",14604097.8229124
"PRR23A",14603553.6220641
"LIN28A",14598281.5405602
"CALCR",14598196.0342097
"g__Brevefilum",14597972.9041665
"s__Brevefilum fermentans",14597972.9041665
"CBX8",14595818.2640944
"CRB2",14592387.7215273
"GGT7",14589934.5165042
"RHO",14588400.2454418
"HBZ",14588289.9176025
"s__Anaerocolumna sedimenticola",14587847.7029095
"PNPLA5",14586294.6554897
"APBB3",14586146.5699433
"MAPK11",14585848.4591047
"ARID3B",14584946.0095139
"NANOS1",14584881.199861
"ZP1",14584412.1109894
"AQP2",14584120.8062218
"KCND1",14583906.2467045
"ESAM",14583618.2641327
"RRS1",14583576.9635727
"TBKBP1",14582758.3555843
"TREML2",14582398.1586835
"s__Leptotrichia trevisanii",14581115.4470654
"TAS2R1",14579360.8887998
"TAS1R2",14579121.6962374
"PLEKHG2",14578329.583087
"PARPBP",14577893.3713726
"ST7-AS2",14577139.675549
"QRICH2",14573677.1283965
"FAM71A",14572363.5395957
"BVES-AS1",14570408.1011337
"OR10G4",14568922.9111003
"CCDC63",14567856.1440037
"CCDC27",14565701.2678733
"EXD1",14565274.4363552
"ANKRD33B",14563561.394577
"ATXN7L2",14563214.6161906
"HTR3D",14559511.1052826
"FLJ42102",14559271.4225968
"FAM215A",14558905.1193116
"KRT38",14558206.9595973
"BTBD17",14557939.3460744
"CYLC2",14557550.9214874
"SCARF2",14553816.8660816
"MCHR2",14550748.1408158
"s__Candidatus Methylopumilus turicensis",14550469.2719697
"CALHM3",14549097.2027583
"C8orf31",14547715.2793167
"SLC39A12",14546473.1522563
"s__Streptomyces sp. Tu6071",14543185.9383935
"ADAD1",14543173.108187
"SIAH3",14542062.1342663
"MS4A3",14541040.9852116
"s__Methylibium sp. Pch-M",14540203.438049
"CCDC146",14537824.6065662
"C4orf45",14534417.3096316
"LIN7B",14532864.4676688
"SH2D5",14529720.3971966
"EIF4E1B",14529389.9989718
"s__Fusobacterium necrophorum",14529180.7839486
"ST6GAL1",14528870.804931
"FGD5-AS1",14528770.1123809
"OR10W1",14527260.3887539
"KCNJ9",14526084.7444763
"SEL1L2",14525492.7190086
"s__Synechococcus sp. JA-2-3B'a(2-13)",14521194.1728158
"CATSPER2",14519796.2766235
"KRT28",14519212.5648909
"ENO4",14517169.7712581
"ACCSL",14516503.0735902
"ABCC12",14515218.8748261
"HPCAL4",14514719.962852
"IL25",14514511.2017881
"TMPRSS11BNL",14512468.2975343
"PIN1P1",14508752.3463294
"KIF7",14508152.6107616
"RAD18",14507857.8846051
"ISYNA1",14507750.8530317
"s__Phreatobacter stygius",14505625.028281
"PRR20A",14504693.2169836
"PROP1",14503741.8881707
"BOLL",14501411.7930426
"KIAA1210",14501149.4215754
"ADCK1",14500871.7905433
"SDR9C7",14500671.5074659
"C20orf203",14499974.8626546
"IL17D",14499898.7681718
"DECR2",14498135.3585241
"UTF1",14497912.5217211
"OR1A2",14497861.7268938
"s__Gemella morbillorum",14496267.1243955
"C20orf202",14496256.6479417
"KRTAP13-1",14495241.6819904
"NUDT2",14495218.7896019
"EVC2",14495171.8245316
"TEX101",14493183.6492559
"PHOX2B",14490758.4069731
"ILDR2",14485083.9255826
"CYLC1",14484837.2386481
"CSH1",14483827.0280569
"MAF",14483376.5946414
"ANGPT4",14483147.6669794
"RGS14",14480962.5186854
"FAM170B",14479186.2338092
"s__Burkholderia sp. DHOD12",14478282.6849537
"FAM170A",14475352.5891525
"ARL5C",14474509.563494
"ARHGAP36",14473404.0959246
"NHLRC1",14473150.0789771
"KRT84",14472686.0432744
"FAM66B",14472348.1932066
"LINC00310",14472248.4718936
"KRT8P41",14471859.0439172
"ZDHHC12",14471786.6170154
"s__Bacteroides eggerthii",14470829.9984244
"MS4A10",14470038.8699029
"ACER1",14469149.7506581
"SIX5",14468870.986109
"PXT1",14468604.7275388
"g__Parvimonas",14467598.1999586
"s__Parvimonas micra",14467598.1999586
"C15orf54",14465453.9901116
"CIB3",14464786.6871074
"RGSL1",14463792.8520596
"CEBPG",14463378.2314951
"LOC100129175",14462590.6666086
"CEND1",14461772.8957827
"s__Pseudomonas entomophila",14461642.3254694
"s__Streptococcus mitis",14461439.5540178
"EBLN1",14460541.5219437
"C22orf24",14460315.1013155
"OR52M1",14459497.6598172
"ELL3",14459011.0278158
"DNAJB8",14458566.5481392
"ACTL7B",14458564.1375267
"KCTD6",14458332.5769692
"CXorf58",14454611.6561693
"C9orf57",14454338.3939308
"GGNBP1",14454333.4746405
"SLC25A35",14454211.5423108
"KRTAP2-4",14453188.9513329
"MIR31HG",14452909.3694239
"MEGF8",14452292.8116906
"GOLGA8B",14451965.2296927
"LOXL3",14449936.5194201
"LENG8",14449813.3712475
"LOC200772",14449611.2072047
"INSIG1",14449588.090759
"GPR32",14447057.077253
"GHDC",14446167.154098
"TMCC3",14446058.8827875
"GADL1",14445599.948875
"KLHL1",14443970.8882473
"FRG2C",14443578.4767512
"TTTY10",14443498.2457086
"GK2",14442473.0156478
"HLA-J",14441630.7364381
"POU1F1",14439955.6686022
"SLC36A3",14439227.7684441
"CALML4",14439035.1171677
"g__Cereibacter",14436630.2455486
"s__Cereibacter sphaeroides",14436630.2455486
"OR2K2",14436399.3729083
"CCDC57",14436242.9512798
"AKAP7",14436012.3765752
"OR11G2",14432392.1523289
"OR4A16",14432299.9821104
"MYH10",14431987.9463147
"OR2G2",14431309.6188914
"LOC100289656",14431214.2180633
"DUPD1",14428023.5815491
"LOC442497",14427962.8413657
"LINC00485",14427821.1051424
"GOLGA8IP",14427369.5149776
"OTOP2",14427130.6245892
"BCL2L12",14426062.0855802
"OR6S1",14425492.2949052
"SPAM1",14423861.1110755
"MBD3L4",14423663.3716155
"DOCK5",14422592.8634041
"TRPM5",14422058.3859262
"ST6GALNAC4",14421554.2033001
"C8orf86",14419849.7188347
"ADPRH",14418174.9931106
"FAM163A",14417740.9304516
"RELB",14416658.0367438
"ZNF653",14415876.5762605
"LOC374443",14414677.6525198
"RGS21",14413525.2860668
"SPATA19",14413252.3870703
"LOC440173",14413217.2496565
"PKDREJ",14412915.2904027
"PSAPL1",14412799.1496568
"GRXCR1",14412719.7352757
"SLC5A3",14412202.1528324
"s__Burkholderia vietnamiensis",14412154.5475923
"s__Enterocloster clostridioformis",14411912.112145
"GFRAL",14411361.154408
"C9orf16",14408578.5393622
"LOC100506083",14406402.082601
"s__Pseudomonas sp. COR54",14403739.0233185
"LOC401463",14402632.2723916
"LINC00189",14402599.4504648
"CCT8L2",14400562.707297
"UBL4B",14399548.45531
"CMPK2",14399300.6731342
"OR2M4",14399132.2332268
"CYP11B1",14397740.3499784
"CSF1R",14394871.5012031
"SLC10A2",14394742.8891943
"SLC43A2",14394032.8353478
"AFG3L1P",14393744.9381335
"SLC34A1",14392622.7693499
"COL18A1",14391744.2758674
"ZNF708",14390284.9245399
"DSE",14389859.3007151
"AUTS2",14389522.6722502
"RPL31P11",14389337.5794573
"ST3GAL2",14387358.478507
"LOC100506804",14386431.9329056
"MBNL3",14385671.3704517
"PDILT",14385264.9088228
"s__Pyrobaculum neutrophilum",14384378.6254265
"CNGB3",14384126.8851451
"C2orf91",14381115.2403433
"LILRP2",14380096.0674121
"BARHL1",14379925.0565168
"FAM161B",14378840.7676579
"OR1M1",14377752.1115291
"C3orf20",14376098.6010925
"TPH2",14375150.835256
