"node","betweencent"
"s__Rhodoferax ferrireducens",89
"s__Staphylococcus nepalensis",0
"s__Stenotrophomonas sp. DR822",2.5
"s__Stenotrophomonas sp. ZAC14A_NAIMI4_1",212.5
"s__Streptococcus dysgalactiae",12563.1416666667
"s__Streptococcus sp. oral taxon 431",112493.071428572
"s__Streptomyces cacaoi",7302.89166666667
"s__Streptomyces incarnatus",385.375
"s__Sulfuricurvum kujiense",427.613095238095
"s__Synechococcus sp. PCC 6312",0
"s__Tenacibaculum dicentrarchi",17593.5686507936
"s__Turneriella parva",104587.376769066
"s__Urechidicola croceus",1422.50833333333
"A1BG-AS1",0
"o__Geodermatophilales",0
"f__Geodermatophilaceae",0
"f__Schleiferiaceae",146.5
"f__Symbiobacteriaceae",139.05
"f__Thermoguttaceae",13146.1201292987
"f__Thermomonosporaceae",0
"g__Actinotignum",1706.81666666667
"g__Blastococcus",0
"g__Croceimicrobium",146.5
"g__Kutzneria",38.5
"g__Neospora",642681.672851201
"g__Paenarthrobacter",0
"g__Symbiobacterium",139.05
"g__Thermogutta",13146.1201292987
"g__Weizmannia",0
"s__[Clostridium] hylemonae",18312.5281135531
"s__[Ochrobactrum] quorumnocens",5052.11666666667
"s__Actinotignum schaalii",1706.81666666667
"s__Arachidicoccus sp. BS20",1756.78333333333
"s__Bacillus sp. N1-1",0
"s__Blastococcus saxobsidens",0
"s__Brachyspira murdochii",551487.338503861
"s__Burkholderia glumae",21595.3557359307
"s__Burkholderia sp. CCGE1003",320.083333333333
"s__Burkholderia sp. LA-2-3-30-S1-D2",36.0833333333333
"s__Burkholderia territorii",146262.743091631
"s__Corynebacterium casei",0
"s__Croceimicrobium hydrocarbonivorans",146.5
"s__Flammeovirga sp. MY04",0
"s__Kitasatospora sp. MMS16-BH015",163.25
"s__Kutzneria sp. CA-103260",38.5
"s__Methylorubrum extorquens",648858.58347416
"s__Microbacterium lushaniae",3251.24166666667
"s__Mycobacterium frederiksbergense",0
"s__Mycobacterium koreense",170756.424374237
"s__Mycobacterium paraintracellulare",7
"s__Mycobacterium spongiae",8
"s__Mycobacteroides chelonae",85982.5907745037
"s__Neospora caninum",642681.672851201
"s__Nonomuraea sp. ATCC 55076",22507.1214285714
"s__Parabacteroides goldsteinii",5
"s__Porphyrobacter sp. CACIAM 03H1",102.833333333333
"s__Prochlorococcus marinus",2421.83333333333
"s__Pseudomonas alkylphenolica",94420.9923305863
"s__Pseudomonas sp. 7SR1",553875.045075757
"s__Pseudomonas sp. COW39",1541984.71672636
"s__Pseudomonas sp. PDNC002",381.125
"s__Pseudomonas sp. RW10S1",313245.774602481
"s__Pseudomonas sp. SK",11280.5797494172
"s__Pseudomonas sp. TCU-HL1",0
"s__Pseudomonas vancouverensis",71.75
"s__Pseudomonas viridiflava",50
"s__Sphingomonas sp. AAP5",1
"s__Sphingomonas sp. CL5.1",119.25
"s__Sphingomonas sp. LK11",5506.68333333333
"s__Sphingomonas sp. YZ-8",517211.998205278
"s__Staphylococcus arlettae",0
"s__Streptococcus chenjunshii",0
"s__Streptococcus sanguinis",291659.815359477
"s__Symbiobacterium thermophilum",139.05
"s__Thermogutta terrifontis",13146.1201292987
"s__Vibrio tritonius",159349.074883776
"s__Weissella hellenica",737.25
"s__Weizmannia coagulans",0
"A1CF",0
"o__Parachlamydiales",0
"f__Labilitrichaceae",36392.9980672104
"f__Parachlamydiaceae",4685.55
"f__Phreatobacteraceae",0
"g__Aquiluna",40771.9682331555
"g__Denitrobacterium",5911.86726190476
"g__Diaphorobacter",0
"g__Filimonas",748.654761904762
"g__Fulvivirga",0
"g__Labilithrix",36392.9980672104
"g__Leifsonia",3888.39166666667
"g__Neochlamydia",736953.534117507
"g__Phreatobacter",0
"g__Rhodobacter",0
"g__Salinigranum",4990.87857142857
"g__Sinimarinibacterium",33042.5176587305
"g__Symmachiella",5451.42690295815
"s__Agrobacterium tumefaciens",1267.24166666667
"s__Amycolatopsis sp. YIM 10",2741.60932539683
"s__Anaerococcus mediterraneensis",38062.6925324676
"s__Aromatoleum petrolei",11647.6666666667
"s__Bacillus sp. M4U3P1",6781844.43856219
"s__Bifidobacterium asteroides",76.5
"s__Burkholderia sp. MS455",12578777.8709648
"s__Candidatus Aquiluna sp. UB-MaderosW2red",40771.9682331555
"s__Candidatus Kuenenia stuttgartiensis",172.333333333333
"s__Candidatus Mycoplasma haemolamae",0
"s__Candidatus Nitrosopelagicus brevis",12218.9476190476
"s__Candidatus Paracaedibacter acanthamoebae",122.416666666667
"s__Candidatus Symbiobacter mobilis",0
"s__Clostridium kluyveri",0
"s__Clostridium sp. JN-1",81.5
"s__Clostridium sp. MF28",0
"s__Corynebacterium glyciniphilum",0
"s__Cupriavidus basilensis",92.5
"s__Denitrobacterium detoxificans",5911.86726190476
"s__Erythrobacter sp. JK5",583.458333333333
"s__Filimonas lacunae",748.654761904762
"s__Fulvivirga sp. S481",0
"s__Kocuria palustris",96165.3030330469
"s__Labilithrix luteola",36392.9980672104
"s__Luteimonas yindakuii",4
"s__Microbacterium aurum",148.725
"s__Microbacterium sp. PM5",39628.872985348
"s__Micromonospora krabiensis",2503556.2269085
"s__Mycobacterium sp. JS623",4416.45
"s__Neochlamydia sp. S13",736953.534117507
"s__Ottowia sp. oral taxon 894",7890.93571428572
"s__Plasmodium malariae",6.66666666666667
"s__Pseudomonas luteola",0
"s__Pseudomonas sp. CMR5c",3728.13392857143
"s__Salinigranum rubrum",4990.87857142857
"s__Sinimarinibacterium sp. NLF-5-8",33042.5176587305
"s__Sphingomonas lacunae",238280.270559012
"s__Sphingomonas sinipercae",0
"s__Staphylococcus virus CSA13",0
"s__Streptococcus ilei",325.208333333333
"s__Streptomyces sp. jing01",6871.07500000001
"s__Streptomyces sp. ZYC-3",7097.23333333334
"s__Symmachiella dynata",5451.42690295815
"s__Synechococcus sp. RSCCF101",0
"s__Tardiphaga robiniae",1323.91666666667
"s__Tenacibaculum mesophilum",28661.4150793652
"A2M",115.416666666667
"c__Nitriliruptoria",0
"o__Egibacterales",100.203937728938
"o__Silvanigrellales",159.041666666667
"f__Egibacteraceae",100.203937728938
"f__Silvanigrellaceae",159.041666666667
"g__Afipia",0
"g__Caproicibacterium",80086.8734487742
"g__Egibacter",100.203937728938
"g__Gemmobacter",6848.96666666666
"g__Mumia",193.958333333333
"g__Proteus",0
"g__Pseudolysobacter",200.825
"g__Silvanigrella",159.041666666667
"s__Alistipes dispar",200556.620059433
"s__Bacteroides cellulosilyticus",10683.5166666667
"s__Bordetella holmesii",88.5
"s__Brettanomyces bruxellensis",4229.55833333333
"s__Burkholderia sp. MSMB0266",6970.78333333334
"s__Candidatus Sulcia muelleri",518.075
"s__Caproicibacterium amylolyticum",80086.8734487742
"s__Clostridium isatidis",0
"s__Comamonas sp. CJ34",77.5833333333333
"s__Comamonas sp. Y33R10-2",63129.2454240202
"s__Corynebacterium amycolatum",0
"s__Corynebacterium segmentosum",4937.2869047619
"s__Corynebacterium urealyticum",9726.14166666667
"s__Dickeya poaceiphila",421.666666666667
"s__Egibacter rhizosphaerae",100.203937728938
"s__Encephalitozoon intestinalis",389.333333333333
"s__Gemmobacter sp. HYN0069",6848.96666666666
"s__Hydrogenophaga sp. BA0156",62578.5463369962
"s__Kitasatospora sp. NA04385",44988.95
"s__Microbacterium sp. A18JL200",0
"s__Micromonospora maris",55.1666666666667
"s__Micromonospora zamorensis",65133.6746031745
"s__Mumia sp. ZJ1417",193.958333333333
"s__Mycobacterium haemophilum",704.083333333333
"s__Myroides odoratus",0
"s__Phreatobacter cathodiphilus",26443.2761904762
"s__Planococcus donghaensis",94.4761904761905
"s__Plasmodium sp. gorilla clade G2",79
"s__Proteus mirabilis",13291.9956349206
"s__Pseudolysobacter antarcticus",200.825
"s__Pseudomonas fluorescens",71823.8660714286
"s__Pseudomonas glycinae",200051.731746031
"s__Pseudomonas psychrotolerans",7
"s__Pseudomonas sp. C27(2019)",18710.8082098457
"s__Pseudomonas sp. CC6-YY-74",1507.50952380952
"s__Pseudomonas sp. PONIH3",7662064.1464133
"s__Pseudomonas sp. SNU WT1",6279.64166666667
"s__Pseudomonas sp. SWI6",175465.780095598
"s__Pseudomonas taetrolens",40
"s__Rhodobacter blasticus",137154.310088523
"s__Ruminococcus albus",648653.614889275
"s__Silvanigrella aquatica",159.041666666667
"s__Sphingobacterium thalpophilum",0
"s__Sphingomonas koreensis",6044.84166666667
"s__Sphingomonas panacis",571.483333333333
"s__Sphingomonas sp. AP4-R1",58034.8547043231
"s__Streptococcus canis",21008.6746031746
"s__Streptomyces lavendulae",738.625
"s__Streptomyces tuirus",30674.2472222222
"A2ML1",0
"k__unclassified-p__Kiritimatiellaeota",57.7559523809524
"p__Kiritimatiellaeota",57.7559523809524
"c__Kiritimatiellae",57.7559523809524
"c__unclassified-g__Ndongobacter",0
"c__unclassified-o__Gloeoemargaritales",717.270833333341
"o__Gloeoemargaritales",717.270833333341
"o__Kiritimatiellales",57.7559523809524
"o__Trueperales",8215.8359033534
"o__unclassified-g__Ndongobacter",0
"f__Dermacoccaceae",1
"f__Gloeomargaritaceae",717.270833333341
"f__Kiritimatiellaceae",57.7559523809524
"f__Trueperaceae",8215.8359033534
"f__unclassified-g__Ndongobacter",0
"g__Blautia",0
"g__Dermacoccus",16332.6329365079
"g__Gloeomargarita",717.270833333341
"g__Kiritimatiella",57.7559523809524
"g__Ndongobacter",0
"g__Pseudorhodobacter",4
"g__Rickettsiella",843.275
"g__Schaalia",54.25
"g__Truepera",8215.8359033534
"g__Yimella",623.746212121212
"s__Acinetobacter schindleri",15964.2535714286
"s__Afipia carboxidovorans",53219.4738095236
"s__Alistipes onderdonkii",47.4166666666667
"s__Alistipes shahii",146234.604464286
"s__Bacillus atrophaeus",123990.90698052
"s__Bacillus paranthracis",800
"s__Bacteroides luhongzhouii",87608.5043831169
"s__Borrelia sp. A-FGy1",45161.3940476191
"s__Butyricimonas faecalis",400886.439750274
"s__Candidatus Rickettsiella viridis",843.275
"s__Caproiciproducens sp. 7D4C2",667.416666666667
"s__Comamonas testosteroni",2462.79404761905
"s__Corynebacterium nuruki",622.8
"s__Corynebacterium riegelii",1659.91666666667
"s__Cutibacterium modestum",89364.7775793651
"s__Dermacoccus nishinomiyaensis",16332.6329365079
"s__Erythrobacter sp. HKB08",1422.9
"s__Gloeomargarita lithophora",717.270833333341
"s__Hydrogenophaga sp. PBL-H3",1709798.34003472
"s__Kiritimatiella glycovorans",57.7559523809524
"s__Lachnoclostridium sp. YL32",145617.464285714
"s__Leptospira biflexa",0
"s__Marinobacter sp. LV10R510-11A",38551.0337662335
"s__Mycobacterium florentinum",103.75
"s__Mycobacterium gordonae",0
"s__Ndongobacter massiliensis",0
"s__Phreatobacter stygius",865253.795310231
"s__Porphyromonas sp. oral taxon 275",523549.071456987
"s__Prevotella copri",9134.05198412699
"s__Prevotella multiformis",655.333333333333
"s__Pseudonocardia sp. CGMCC 4.1532",3398.79166666666
"s__Pseudorhodobacter turbinis",4
"s__Roseomonas sp. 1318",11474.5674603175
"s__Sphingomonas sanguinis",36343.5498015873
"s__Streptococcus equi",4023.65476190476
"s__Streptococcus gwangjuense",40477.5574175824
"s__Streptomyces olivoreticuli",19533.8893217894
"s__Truepera radiovictrix",8215.8359033534
"s__Yimella sp. cx-51",623.746212121212
"A4GALT",56.75
"c__Caldilineae",1.6
"c__Chthonomonadetes",50.252380952381
"o__Caldilineales",1.6
"o__Chthonomonadales",50.252380952381
"o__Phycisphaerales",0
"f__Caldilineaceae",1.6
"f__Chthonomonadaceae",50.252380952381
"f__Phycisphaeraceae",0
"f__Sphingosinicellaceae",6532.65900072186
"f__Tsukamurellaceae",1.5
"g__Acetomicrobium",9369.64960317458
"g__Actinoalloteichus",1
"g__Actinosynnema",0
"g__Caldilinea",1.6
"g__Caproiciproducens",0
"g__Chthonomonas",50.252380952381
"g__Eggerthella",0
"g__Filomicrobium",0
"g__Lawsonia",71.8583333333333
"g__Methylorubrum",0
"g__Pelolinea",0
"g__Polymorphobacter",6532.65900072186
"g__Poriferisphaera",0
"g__Sphingorhabdus",0
"g__Thalassoglobus",26.3333333333333
"g__Tsukamurella",1.5
"s__Acetomicrobium mobile",9369.64960317458
"s__Actinosynnema pretiosum",22894.5002164502
"s__Akkermansia glycaniphila",0
"s__Aquimarina sp. TRL1",333.5
"s__Bacillus altitudinis",0
"s__Bacillus sp. 1NLA3E",0
"s__Bacillus sp. FJAT-42376",0
"s__Bacillus sp. PAMC26568",51930.142063492
"s__Bacillus toyonensis",0
"s__Caldilinea aerophila",1.6
"s__Candidatus Filomicrobium marinum",0
"s__Candidatus Nitrosotalea okcheonensis",5208.03214285714
"s__Candidatus Nitrospira inopinata",575.2
"s__Caproiciproducens sp. NJN-50",0
"s__Chthonomonas calidirosea",50.252380952381
"s__Comamonas sp. NLF-7-7",364
"s__Corynebacterium glaucum",244.25
"s__Corynebacterium sp. zg-320",0
"s__Corynebacterium sp. zg-917",4
"s__Coxiella burnetii",25.5
"s__Cronobacter condimenti",5582.3507936508
"s__Delftia sp. HK171",88697.038401876
"s__Dialister pneumosintes",53877.3166666666
"s__Enterococcus faecium",0
"s__Gemella sp. ND 6198",578.125
"s__Gemmatimonas phototrophica",2521.13888888889
"s__Kingella denitrificans",2035.78333333334
"s__Lachnoclostridium phytofermentans",802.783333333333
"s__Lawsonia intracellularis",71.8583333333333
"s__Methylobacterium sp. AMS5",280.25
"s__Micrococcus sp. KBS0714",41429.9030196111
"s__Mycobacterium goodii",0
"s__Mycobacterium paragordonae",0
"s__Nitrospira sp. KM1",4887.91785714286
"s__Oscillibacter sp. NSJ-62",1153.08333333333
"s__Pelolinea submarina",0
"s__Polymorphobacter sp. PAMC 29334",6532.65900072186
"s__Poriferisphaera corsica",0
"s__Propionibacterium freudenreichii",0
"s__Pseudomonas antarctica",0
"s__Pseudomonas libanensis",196.285714285714
"s__Pseudomonas mendocina",3333.94880952381
"s__Pseudomonas sp. Leaf58",0
"s__Pseudomonas sp. NC02",225.666666666667
"s__Pseudomonas sp. OE 28.3",237936.825639964
"s__Rhodobacter sp. N10",78108.8827793531
"s__Sphingobacterium psychroaquaticum",329815.151280664
"s__Sphingomonas sp. C33",17
"s__Sphingomonas sp. HMP6",0
"s__Sphingomonas wittichii",2432.25952380952
"s__Sphingorhabdus lacus",260125.656715504
"s__Staphylococcus felis",0
"s__Staphylococcus saccharolyticus",8755.10400432901
"s__Sutterella megalosphaeroides",70508.4372644513
"s__Tessaracoccus timonensis",0
"s__Thalassoglobus polymorphus",26.3333333333333
"s__Tsukamurella tyrosinosolvens",63833.536111111
"A4GNT",78.375
"c__Conexivisphaeria",9.8
"o__Cantharellales",6.49285714285714
"o__Conexivisphaerales",9.8
"f__Ceratobasidiaceae",6.49285714285714
"f__Conexivisphaeraceae",9.8
"f__Cryptosporidiidae",524.09761904762
"f__Paludibacteraceae",268045.942535265
"f__Streptosporangiaceae",0
"g__Cloacibacillus",570434.628457067
"g__Conexivisphaera",9.8
"g__Cryptosporidium",524.09761904762
"g__Dactylococcopsis",10794.4930194805
"g__Natrarchaeobaculum",0
"g__Nonomuraea",11
"g__Ornithinimicrobium",0
"g__Paludibacter",268045.942535265
"g__Porphyrobacter",0
"g__Rhizoctonia",6.49285714285714
"g__Serpentinomonas",100346.049331225
"g__Trypanosoma",18.4166666666667
"s__Acinetobacter lwoffii",2
"s__Actinomyces sp. HMT 175",411.666666666667
"s__Anaerocolumna sedimenticola",250819.100835271
"s__Bacillus subtilis",6
"s__Burkholderia vietnamiensis",549045.474274747
"s__Campylobacter gracilis",772012.450997608
"s__Cloacibacillus porcorum",570434.628457067
"s__Clostridium bornimense",2066831.56224165
"s__Clostridium estertheticum",746093.107611829
"s__Clostridium sp. C1",29202.5220238096
"s__Conexivisphaera calida",9.8
"s__Cryptosporidium parvum",524.09761904762
"s__Dactylococcopsis salina",10794.4930194805
"s__Desulfovibrio fairfieldensis",4283.51666666667
"s__Diaphorobacter sp. HDW4A",775492.398135885
"s__Eggerthella lenta",20
"s__Hyphomicrobium nitrativorans",27799.9119047619
"s__Lactobacillus delbrueckii",9158.71785714286
"s__Leptotrichia sp. oral taxon 847",55
"s__Microbacterium sediminis",725201.373204943
"s__Mycobacterium conspicuum",0
"s__Mycobacterium marinum",1926.64924242424
"s__Mycobacterium xenopi",0
"s__Nonomuraea nitratireducens",156984.809898843
"s__Ornithinimicrobium pratense",13293.8805555556
"s__Paludibacter propionicigenes",268045.942535265
"s__Phreatobacter sp. NMCR1094",0
"s__Polynucleobacter sp. LimPoW16",9643.73333333333
"s__Pseudomonas campi",791.75
"s__Pseudomonas eucalypticola",0
"s__Pseudomonas mosselii",1073664.17451437
"s__Pseudomonas sp. RW9S1A",497743.141883121
"s__Pseudomonas sp. S07E 245",30.25
"s__Pseudomonas sp. SK2",56691.8345057715
"s__Pseudomonas sp. XWY-1",2
"s__Pyricularia oryzae",149182.81933622
"s__Rhizoctonia solani",6.49285714285714
"s__Roseomonas sp. 546",118.25
"s__Serpentinomonas raichei",100346.049331225
"s__Sphingomonas sp. MM-1",106118.614201258
"s__Sphingomonas sp. NIC1",24
"s__Sphingomonas sp. PAMC26645",33178.7128968254
"s__Staphylococcus haemolyticus",422.22619047619
"s__Stenotrophomonas sp. WZN-1",2032128.38239701
"s__Streptococcus ratti",0
"s__Streptococcus salivarius",61242.2422348483
"s__Streptococcus sobrinus",0
"s__Streptomyces nojiriensis",0
"s__Trypanosoma brucei",18.4166666666667
"s__Weissella diestrammenae",0
"AACSP1",127.666666666667
"c__Acidimicrobiia",0
"c__Tremellomycetes",0
"c__unclassified-o__Chroococcidiopsidales",110.045238095238
"o__Acidimicrobiales",0
"o__Brachyspirales",0
"o__Chroococcidiopsidales",110.045238095238
"o__Selenomonadales",12
"o__Tremellales",0
"f__Brachyspiraceae",0
"f__Chroococcidiopsidaceae",110.045238095238
"f__Cryptococcaceae",0
"f__Dysgonomonadaceae",35
"f__Iamiaceae",0
"f__Selenomonadaceae",12
"f__unclassified-g__Pseudorhodoplanes",43299.5860583861
"f__unclassified-g__Rubrivivax",535.283308358308
"g__Aerosticca",2.5
"g__Asaia",59
"g__Brachyspira",0
"g__Caldibacillus",66142.9111035526
"g__Chroococcidiopsis",110.045238095238
"g__Citricoccus",7.33333333333333
"g__Collimonas",197086.508003105
"g__Cryptococcus",0
"g__Eikenella",1.5
"g__Erysipelatoclostridium",88.75
"g__Fuerstia",90.8095238095238
"g__Grimontia",27105.0352994236
"g__Halopiger",2853.98622904872
"g__Iamia",96914.4741003734
"g__Longicatena",159104.034297076
"g__Ottowia",0
"g__Panacibacter",40919.1366855364
"g__Petrimonas",82621.0635808639
"g__Phenylobacterium",132.541666666667
"g__Pseudorhodoplanes",43299.5860583861
"g__Rubrivivax",535.283308358308
"g__Saccharothrix",70.25
"g__Selenomonas",2099.61865079365
"g__Tetrapisispora",38092.796230159
"g__unclassified-s__uncultured crAssphage",23496.9865981241
"g__Vitreoscilla",13016.5376526251
"s__Achromobacter sp. AONIH1",7900.04404761905
"s__Acinetobacter lanii",2800045.09684758
"s__Acinetobacter wanghuae",1445181.20872528
"s__Aerosticca soli",2.5
"s__Alistipes finegoldii",6798.61666666667
"s__Anaerocolumna cellulosilytica",412.125
"s__Asaia bogorensis",59
"s__Aspergillus fumigatus",61885.4847222221
"s__Bacillus mycoides",284.666666666667
"s__Bacillus thuringiensis",1873.83333333333
"s__Bacillus velezensis",208.708333333333
"s__Bacteroides intestinalis",3170.875
"s__Bacteroides salyersiae",6497.82757936508
"s__Bifidobacterium bifidum",80.25
"s__Bifidobacterium pseudocatenulatum",43891.8694444444
"s__Caldibacillus thermoamylovorans",66142.9111035526
"s__Candidatus Endolissoclinum faulkneri",1526958.50418889
"s__Candidatus Planktophila versatilis",406848.231867849
"s__Chroococcidiopsis thermalis",110.045238095238
"s__Citricoccus sp. SGAir0253",7.33333333333333
"s__Clostridium acetobutylicum",37610.8408730158
"s__Collimonas arenae",197086.508003105
"s__Corynebacterium argentoratense",0
"s__Corynebacterium sanguinis",0
"s__Corynebacterium variabile",1
"s__Cryptococcus neoformans",15
"s__Cupriavidus metallidurans",20439.3265873016
"s__Cupriavidus necator",3
"s__Cupriavidus oxalaticus",70.5
"s__Dechloromonas sp. HYN0024",29198.4416666667
"s__Eikenella corrodens",1.5
"s__Enterobacter cloacae",11263.2916666667
"s__Eremothecium cymbalariae",10836.8535714286
"s__Erysipelatoclostridium ramosum",88.75
"s__Fuerstia marisgermanicae",90.8095238095238
"s__Fusarium verticillioides",14
"s__Grimontia hollisae",27105.0352994236
"s__Halopiger xanaduensis",2853.98622904872
"s__Hyphomicrobium sp. MC1",517498.112256495
"s__Iamia sp. SCSIO 61187",96914.4741003734
"s__Kitasatospora setae",12053.9178571429
"s__Legionella israelensis",1660.24166666667
"s__Longicatena caecimuris",159104.034297076
"s__Luteolibacter sp. 32A",345
"s__Methylobacterium durans",3885.45714285714
"s__Methylobacterium indicum",307643.178829504
"s__Microbacterium foliorum",15
"s__Microbacterium paraoxydans",38145.1728174603
"s__Microbacterium sp. WY121",1603356.27735671
"s__Natrarchaeobaculum aegyptiacum",727.95
"s__Oscillibacter sp. MM35",1997.96666666667
"s__Ottowia oryzae",11496.886492674
"s__Panacibacter ginsenosidivorans",40919.1366855364
"s__Petrimonas mucosa",82621.0635808639
"s__Phenylobacterium parvum",132.541666666667
"s__Pontibacter pudoricolor",239.25
"s__Pseudomonas bijieensis",284884.053454387
"s__Pseudomonas lundensis",61.3333333333333
"s__Pseudomonas protegens",41208.9305194805
"s__Pseudomonas sp. FGI182",488391.541636144
"s__Pseudomonas sp. SGAir0191",37881.0238095238
"s__Pseudorhodoplanes sinuspersici",43299.5860583861
"s__Rubrivivax gelatinosus",535.283308358308
"s__Saccharothrix sp. 6-C",70.25
"s__Selenomonas ruminantium",2099.61865079365
"s__Sphingomonas ginsengisoli An et al. 2013",23205.7089285714
"s__Sphingomonas insulae",17790.2583333333
"s__Sphingomonas panacisoli",502.25
"s__Sphingomonas sp. FARSPH",320763.910983461
"s__Sphingomonas sp. LMO-1",54
"s__Sphingomonas sp. MK52",146334.198542145
"s__Sphingomonas taxi",4235448.67239244
"s__Sphingomonas xanthus",0
"s__Stenotrophomonas sp. ESTM1D_MKCIP4_1",1089406.10369005
"s__Streptococcus parasanguinis",168.416666666667
"s__Streptococcus periodonticum",352046.660642136
"s__Streptococcus sp. HKU75",754276.032886554
"s__Streptococcus urinalis",1.25
"s__Streptomyces hawaiiensis",287541.878843987
"s__Synechococcus sp. CBW1004",749804.923932756
"s__Tetrapisispora blattae",38092.796230159
"s__Treponema socranskii",2874.23055555556
"s__Treponema sp. Marseille-Q4132",5972.55595238095
"s__uncultured crAssphage",23496.9865981241
"s__Vitreoscilla filiformis",13016.5376526251
"s__Yersinia pestis",11601.8242424242
"AADAC",0
"c__Anaerolineae",0
"o__Anaerolineales",0
"o__Jatrophihabitantales",57.1797619047619
"f__Anaerolineaceae",0
"f__Christensenellaceae",0
"f__Jatrophihabitantaceae",57.1797619047619
"f__unclassified-g__Massilistercora",32265.3852080519
"g__Christensenella",0
"g__Ereboglobus",57083.3917827263
"g__Hirschia",787.720833333333
"g__Jatrophihabitans",57.1797619047619
"g__Massilistercora",32265.3852080519
"g__Paraflavitalea",76.1333333333333
"g__Rhodoluna",112634.01879371
"s__Achromobacter deleyi",27446.9738095238
"s__Burkholderia contaminans",97816.9431096684
"s__Candidatus Methylopumilus turicensis",217226.736768093
"s__Candidatus Rhodoluna planktonica",112634.01879371
"s__Christensenella minuta",0
"s__Clostridium beijerinckii",186.083333333333
"s__Corynebacterium aurimucosum",164.25
"s__Encephalitozoon cuniculi",526.541666666667
"s__Ereboglobus luteus",57083.3917827263
"s__Fusarium graminearum",6927.51666666667
"s__Hirschia baltica",787.720833333333
"s__Jatrophihabitans sp. GAS493",57.1797619047619
"s__Massilistercora timonensis",32265.3852080519
"s__Methylobacterium brachiatum",358.216666666667
"s__Paraflavitalea soli",76.1333333333333
"s__Plasmodium knowlesi",182467.830858153
"s__Pseudomonas fragi",14334.7932539682
"s__Pseudomonas litoralis",469798.262745591
"s__Ruminococcus champanellensis",5402.43333333333
"s__Sphingomonas sp. KC8",554.916666666667
"s__Stenotrophomonas sp. G4",48890.9054202742
"AADACL2",0
"k__unclassified-c__Candidatus",1734.53876262642
"p__unclassified-c__Candidatus",1734.53876262642
"c__Dothideomycetes",28559.6670636522
"o__Mycosphaerellales",28559.6670636522
"o__Nakamurellales",1948.12458574921
"f__Dipodascaceae",839.281812631794
"f__Mycosphaerellaceae",28559.6670636522
"f__Nakamurellaceae",1948.12458574921
"f__Sutterellaceae",30.0833333333333
"f__unclassified-g__Plesiomonas",14.6666666666667
